arm,seed,step,novelty_vector_count,h_n_latest,h_n_shape_latest,V,H_N,L_t,total_suppression,avg_wb,theta_capability,transfer_state,g,population,x_compute,x_bio_welfare,x_novelty_agency,x_institutional_capacity,x_transfer_comprehension,x_resilience,c_protective,c_suppressive,adapter_active,action_modified,adapter_score,shape_fallback_increase
H,1835086300,0,200,0.9776312292983009,0.9776473055601295,0.08768468738676542,0.9776312292983009,0.10098514099103145,0.126,0.6713466289429096,0.5148113270963506,0.55,1.394243382430442,203,0.1851415887043828,0.2975383574276173,0.004496293716642465,0.20625383532774913,0.30127072510417896,0.005299199719429443,0.6,0.0,False,False,0.0,2
H,1835086300,1,203,0.9862761338736158,0.9864235408725619,0.07011746374109128,0.9862761338736158,0.12586169920605367,0.21400000000000002,0.682582082367501,0.527722646145931,0.5784730552199409,1.3364961523299568,215,0.17064856755497473,0.16839269616954822,0.09208804738910606,0.2175332889196169,0.2173652760997041,0.13397212386705004,0.2,0.2,False,False,0.0,0
H,1835086300,2,215,0.9861412132099425,0.9861427789511346,0.10629245014151588,0.9861412132099425,0.14560299318415107,0.05600000000000001,0.6955256597137447,0.5466373786468125,0.6206257496979468,1.2663576486235342,216,0.2537608101022256,0.23497060736788966,0.02496059054361706,0.12116453726169053,0.31146850978704105,0.05367494493753604,0.4,0.0,False,False,0.0,0
H,1835086300,3,216,0.9850253782689443,0.9851578374990176,0.0709583550223983,0.9850253782689443,0.16897327831774922,0.21400000000000002,0.701623063192647,0.5494626194062375,0.6539017246456129,1.1976276469048242,219,0.064463871147071,0.15509590572958082,0.20240016898544438,0.27359216691547306,0.27669274958730367,0.027755137635127075,0.2,0.2,False,False,0.0,0
H,1835086300,4,219,0.9863837245102665,0.9864144325272124,0.08260415051954384,0.9863837245102665,0.1983370352338281,0.2,0.711880930174685,0.5531004268136092,0.6885115521810516,1.1284580082367786,225,0.07638672972104336,0.17369672012725831,0.042781407462105264,0.2807808772573511,0.3499628982304731,0.076391367201769,0.0,0.2,False,False,0.0,0
H,1835086300,5,225,0.9857365239388858,0.9857366231418396,0.12825059441802686,0.9857365239388858,0.21715852590270102,0.014000000000000002,0.7229567382194265,0.5640510686949087,0.7180238791904311,1.0865938153900048,226,0.17007079027475025,0.1962354247701584,0.1471111567529952,0.14757921412125738,0.291817411137423,0.04718600294341578,0.2,0.0,False,False,0.0,0
H,1835086300,6,226,0.9896857388373389,0.9897231638926274,0.0810561709743097,0.9896857388373389,0.24372308030649165,0.22400000000000003,0.7338304642636958,0.5682876466392592,0.7456659456712135,1.0385518147531623,230,0.09298914223869877,0.22285057179012052,0.12046240298642029,0.22449191941387384,0.2972222719991272,0.04198369157175938,0.8,0.0,False,False,0.0,0
H,1835086300,7,230,0.9800898772897865,0.9865500607677039,0.040027685554826956,0.9800898772897865,0.2585944681085627,0.456,0.7378765248801583,0.572184810543162,0.7683456615116568,1.0092435616663917,226,0.09139432794832121,0.15051165275633566,0.04292136412366782,0.2821415972987007,0.2862315520378236,0.14679950583515108,0.4,0.4,False,False,0.0,0
H,1835086300,8,226,0.9881134552299937,0.9881296381229485,0.08771695748783453,0.9881134552299937,0.2758394759018656,0.22400000000000003,0.7528906410953307,0.5879192207305082,0.7898574112306911,0.9886374612169032,224,0.24179563393130354,0.2028361440015411,0.005068048773272825,0.1141275235470591,0.2917315793509994,0.14444107039582388,0.8,0.0,False,False,0.0,0
H,1835086300,9,224,0.987095195625994,0.9870952183012833,0.14000976914539912,0.987095195625994,0.2841608206138763,0.014000000000000002,0.7663571016901296,0.5893855290867427,0.7994409412156426,0.9620151171414967,215,0.07327836740949861,0.21550270684931686,0.004636279857463942,0.4534843344057749,0.24284635554010303,0.010251955937842696,0.2,0.0,False,False,0.0,0
H,1835086300,10,215,0.9824418121083497,0.9824419599680585,0.12504710957688417,0.9824418121083497,0.30450519793815406,0.05600000000000001,0.7743977903629894,0.5937008180873047,0.8058914559542485,0.9513207965626129,218,0.10980706818623877,0.28332343045841507,0.0061825702739669135,0.31334429487285814,0.2319730443008511,0.055369591907669984,0.4,0.0,False,False,0.0,0
H,1835086300,11,218,0.9870077629366929,0.9897010657862747,0.0470172548756405,0.9870077629366929,0.3237606067695413,0.42400000000000004,0.780437645599736,0.5893384512625155,0.8237003324791632,0.9167635255985697,219,0.004033425994700692,0.16543434162102985,0.04336840787781291,0.3531517572462249,0.2919901106016975,0.14202195665853418,0.8,0.2,False,False,0.0,0
H,1835086300,12,219,0.9897075995515322,0.9897076269097739,0.13853636718571394,0.9897075995515322,0.34507931080862136,0.05600000000000001,0.7824704340136107,0.5905555079337208,0.8413302992312469,0.8970698452286505,223,0.07104974042913782,0.1753857252317943,0.025943167721788122,0.23957035790648135,0.3182965584429073,0.16975445026789113,0.4,0.0,False,False,0.0,0
H,1835086300,13,223,0.9332310723870522,0.9882503908884931,0.02299070030064299,0.9332310723870522,0.3520337264447613,0.6,0.7832119896779376,0.5962391588434409,0.8562687480878902,0.8890600074483606,229,0.12764282883007716,0.16550122863023245,0.06182443720580375,0.31697384854239485,0.29535739389883986,0.03270026289265197,0.0,0.6,False,False,0.0,0
H,1835086300,14,229,0.9806648294955086,0.9806850287578716,0.08589207878947289,0.9806648294955086,0.3928155209305314,0.256,0.7853396929488708,0.6033742526898842,0.8622514807961748,0.8910360529879092,233,0.14933814735769108,0.16840701078779527,0.07270745821828475,0.3276465839741765,0.2580480375853676,0.023852762076684946,0.4,0.2,False,False,0.0,0
H,1835086300,15,233,0.9858296632782012,0.9858309209388517,0.10803403222220345,0.9858296632782012,0.40514361977728297,0.126,0.7870028648791707,0.6231019610580784,0.8734973633834496,0.9064027330479609,232,0.31120526253360525,0.14596073481459085,0.04086708382486943,0.135098978581854,0.287355153334462,0.07951278691061855,0.6,0.0,False,False,0.0,0
H,1835086300,16,232,0.9853008865691701,0.9853008916603663,0.1518857514353729,0.9853008865691701,0.41987297015429403,0.0,0.7904690151905341,0.6359775523653525,0.8861476270451046,0.9079268444551035,233,0.23788361700222502,0.1964525571098012,0.06652403458029373,0.16686117946023177,0.32835187358995965,0.0039267382574885955,0.0,0.0,False,False,0.0,0
H,1835086300,17,233,0.9845545973811043,0.9845546437859954,0.13428881375525734,0.9845545973811043,0.43929559822137504,0.05600000000000001,0.8016455885398543,0.645635920782098,0.8949648802540111,0.8999104285516357,231,0.20571557543766458,0.18806424329249372,0.06451775959370086,0.2500274213625415,0.28716007956708445,0.004514920746515084,0.4,0.0,False,False,0.0,0
H,1835086300,18,231,0.9857477381658988,0.9859690253431406,0.06687990448805159,0.9857477381658988,0.44693842805755446,0.35,0.8027041794906693,0.663354124742993,0.8748361172696435,0.9446332001694037,230,0.3139967614354947,0.16605755022613441,0.06891209983870268,0.25352140493578396,0.14683862520516722,0.05067355835871695,1.0,0.0,False,False,0.0,0
H,1835086300,19,230,0.9857611626524636,0.9874599333927412,0.05066771619132671,0.9857611626524636,0.45717896331972846,0.4,0.8040651871376198,0.661245634770719,0.8843409125237708,0.9299333893863042,231,0.07574020331094451,0.2777314595172865,0.09117731021702843,0.23761592841012527,0.28494203490545794,0.03279306363915742,0.0,0.4,False,False,0.0,0
H,1835086300,20,231,0.9844748615182007,0.9844753614915283,0.11536588141593196,0.9844748615182007,0.4680445745228127,0.126,0.8027353871864986,0.6698057336306887,0.8927296325751402,0.9346661224031813,234,0.2077797574813215,0.20704804569487853,0.06353923600741972,0.1725184728719578,0.28411405651873245,0.06500043142569016,0.6,0.0,False,False,0.0,0
H,1835086300,21,234,0.9843793747311559,0.986633556858821,0.04840928738080644,0.9843793747311559,0.48999478293960097,0.456,0.7988758590791389,0.6836934848089817,0.8956643506063788,0.9555135609548365,243,0.27972547324784236,0.16253681038777257,0.03618775317431908,0.16165860161084206,0.26103840644376325,0.09885295513546072,0.4,0.4,False,False,0.0,0
H,1835086300,22,243,0.9870538341972731,0.9870611146381911,0.09406656062420743,0.9870538341972731,0.5110068989355747,0.22400000000000003,0.8017760929819074,0.6896258851391595,0.8952998334153968,0.9607091968203822,245,0.18896343213283492,0.18280232780254546,0.00511259985226563,0.2990679280449751,0.24600958934827888,0.07804412281909996,0.8,0.0,False,False,0.0,0
H,1835086300,23,245,0.985436732376119,0.9854367500231049,0.14199206016386326,0.985436732376119,0.5187915633371075,0.05600000000000001,0.8007740071526526,0.6904175260019177,0.889801885927832,0.9689659538795692,248,0.128411688996453,0.19364404097094784,0.08893262260298695,0.2485742309844627,0.220160179269875,0.12027723717527451,0.4,0.0,False,False,0.0,0
