job,arm,defense_arm,seed,steps_completed,end_reason,steps_ge_50_above_g_star,sustained_hazard,hazard_confirmation_step,veto_entry_step,consensus_entry_step,final_population,recorded_steps,heartbeat_count,raw_log,audit_file,defended_successor_commits_exploratory
H_OFF_1835087600,H,OFF,1835087600,300,step_limit,0,False,null,null,null,329,300,300,drift_defense_run_H_OFF_1835087600_steps_attempt1.csv,drift_defense_run_H_OFF_1835087600_audit_attempt1.json,0
H_OFF_1835087601,H,OFF,1835087601,300,step_limit,0,False,null,null,null,287,300,300,drift_defense_run_H_OFF_1835087601_steps_attempt1.csv,drift_defense_run_H_OFF_1835087601_audit_attempt1.json,0
H_OFF_1835087602,H,OFF,1835087602,300,step_limit,0,False,null,null,null,305,300,300,drift_defense_run_H_OFF_1835087602_steps_attempt1.csv,drift_defense_run_H_OFF_1835087602_audit_attempt1.json,0
H_OFF_1835087603,H,OFF,1835087603,300,step_limit,5,False,null,null,null,388,300,300,drift_defense_run_H_OFF_1835087603_steps_attempt1.csv,drift_defense_run_H_OFF_1835087603_audit_attempt1.json,0
H_OFF_1835087604,H,OFF,1835087604,300,step_limit,3,False,null,null,null,313,300,300,drift_defense_run_H_OFF_1835087604_steps_attempt1.csv,drift_defense_run_H_OFF_1835087604_audit_attempt1.json,0
H_OFF_1835087605,H,OFF,1835087605,300,step_limit,7,False,null,null,null,381,300,300,drift_defense_run_H_OFF_1835087605_steps_attempt1.csv,drift_defense_run_H_OFF_1835087605_audit_attempt1.json,0
H_OFF_1835087606,H,OFF,1835087606,300,step_limit,3,False,null,null,null,310,300,300,drift_defense_run_H_OFF_1835087606_steps_attempt1.csv,drift_defense_run_H_OFF_1835087606_audit_attempt1.json,0
H_OFF_1835087607,H,OFF,1835087607,300,step_limit,0,False,null,null,null,257,300,300,drift_defense_run_H_OFF_1835087607_steps_attempt1.csv,drift_defense_run_H_OFF_1835087607_audit_attempt1.json,0
H_OFF_1835087608,H,OFF,1835087608,300,step_limit,0,False,null,null,null,268,300,300,drift_defense_run_H_OFF_1835087608_steps_attempt1.csv,drift_defense_run_H_OFF_1835087608_audit_attempt1.json,0
H_OFF_1835087609,H,OFF,1835087609,300,step_limit,0,False,null,null,null,316,300,300,drift_defense_run_H_OFF_1835087609_steps_attempt1.csv,drift_defense_run_H_OFF_1835087609_audit_attempt1.json,0
