arm,seed,steps_completed,end_reason,extinct,t_star,t_star_minus_50,crossing_classification,entropy_deficit_sum,deficit_quantity
M05,1835086199,298,extinction,True,88,38,loud,0.3113877632402392,before_crossing_inclusive
M05,1835086200,300,step_limit,False,96,46,loud,0.4191530562452783,before_crossing_inclusive
M05,1835086201,300,step_limit,False,62,12,silent,0.030977537085665974,before_crossing_inclusive
M05,1835086202,300,step_limit,False,102,52,loud,0.42251856467608906,before_crossing_inclusive
M05,1835086203,300,step_limit,False,93,43,loud,0.3466159628908877,before_crossing_inclusive
M05,1835086204,300,step_limit,False,84,34,loud,0.39026754340345415,before_crossing_inclusive
M05,1835086205,295,extinction,True,102,52,loud,0.46631641105839794,before_crossing_inclusive
M05,1835086206,300,step_limit,False,112,62,loud,1.056399014109882,before_crossing_inclusive
M05,1835086207,300,step_limit,False,93,43,loud,0.5347683792374973,before_crossing_inclusive
M05,1835086208,274,extinction,True,94,44,loud,0.5458785784017348,before_crossing_inclusive
M05,1835086209,300,step_limit,False,122,72,loud,2.281696016385646,before_crossing_inclusive
M05,1835086210,300,step_limit,False,108,58,loud,0.707598253966611,before_crossing_inclusive
M05,1835086211,300,step_limit,False,65,15,loud,0.10571411949558185,before_crossing_inclusive
M05,1835086212,300,step_limit,False,104,54,loud,0.6350911585139843,before_crossing_inclusive
M05,1835086213,292,extinction,True,89,39,loud,0.39484306623644705,before_crossing_inclusive
M05,1835086214,300,step_limit,False,100,50,loud,0.26569602961829364,before_crossing_inclusive
M05,1835086215,300,step_limit,False,62,12,silent,0.032716324579640244,before_crossing_inclusive
M05,1835086216,300,step_limit,False,118,68,loud,0.9079848497607287,before_crossing_inclusive
M05,1835086217,296,extinction,True,90,40,loud,0.16456459369622534,before_crossing_inclusive
M05,1835086218,300,step_limit,False,100,50,loud,0.39831030875270523,before_crossing_inclusive
M05,1835086219,300,step_limit,False,86,36,loud,0.1291859900002027,before_crossing_inclusive
M05,1835086220,300,step_limit,False,91,41,loud,0.21351783849632644,before_crossing_inclusive
M05,1835086221,300,step_limit,False,109,59,loud,1.199447670738022,before_crossing_inclusive
M05,1835086222,300,step_limit,False,94,44,loud,0.2547395114019655,before_crossing_inclusive
M05,1835086223,300,step_limit,False,108,58,loud,0.9766271270137331,before_crossing_inclusive
M05,1835086224,300,step_limit,False,102,52,loud,0.5925909782465216,before_crossing_inclusive
M05,1835086225,300,step_limit,False,71,21,loud,0.1216654738707047,before_crossing_inclusive
M05,1835086226,300,step_limit,False,99,49,loud,0.3969587291308211,before_crossing_inclusive
M05,1835086227,300,step_limit,False,122,72,loud,1.9139452350261636,before_crossing_inclusive
M05,1835086228,300,step_limit,False,98,48,loud,0.7117436961397671,before_crossing_inclusive
M05,1835086229,299,extinction,True,90,40,loud,0.43970673657923975,before_crossing_inclusive
M05,1835086230,300,step_limit,False,112,62,loud,1.6939276308604798,before_crossing_inclusive
M05,1835086231,290,extinction,True,78,28,loud,0.24779125624580656,before_crossing_inclusive
M05,1835086232,300,step_limit,False,77,27,loud,0.10418151596607184,before_crossing_inclusive
M05,1835086233,300,step_limit,False,96,46,loud,0.29966563876354047,before_crossing_inclusive
M05,1835086234,300,step_limit,False,118,68,loud,1.1288196238096384,before_crossing_inclusive
M05,1835086235,300,step_limit,False,118,68,loud,1.1649666895332367,before_crossing_inclusive
M05,1835086236,300,step_limit,False,100,50,loud,0.30273279576431034,before_crossing_inclusive
