arm,seed,paired_steps,mean_raw_entropy_difference,mean_g_difference
M05,1835086199,248,-0.353141222777599,0.7920632975107064
M05,1835086200,250,-0.3318293737088097,0.47197032938920547
M05,1835086201,250,-0.34356346116129555,0.44732410223590635
M05,1835086202,250,-0.34974810109340193,0.48575075118707756
M05,1835086203,250,-0.35324029925798867,0.43449397285248936
M05,1835086204,250,-0.34199038908118073,0.43710653627436624
M05,1835086205,245,-0.3397303295976764,4.7949730940524535
M05,1835086206,250,-0.34501137437241064,0.41676379995524476
M05,1835086207,250,-0.3543226102451057,0.45613504248747666
M05,1835086208,224,-0.31455809042710353,1.2368109966122607
M05,1835086209,250,-0.35019431945190127,0.47021799544579507
M05,1835086210,250,-0.3533974420142987,0.458996621216742
M05,1835086211,250,-0.3389856993941891,0.4148921955658562
M05,1835086212,250,-0.3698265147934197,0.43998068556879244
M05,1835086213,242,-0.35066665990924006,0.875193945860505
M05,1835086214,250,-0.33615971531917954,0.4350282065262384
M05,1835086215,250,-0.33264458319064,0.41139335647767566
M05,1835086216,250,-0.3260575192503926,0.4265525833689799
M05,1835086217,246,-0.37158228925442927,0.8702264233873364
M05,1835086218,250,-0.31587056572833555,0.43663055712559423
M05,1835086219,250,-0.3505836802718195,0.44841009121937203
M05,1835086220,250,-0.343293330784747,0.5031140997089928
M05,1835086221,250,-0.3875210782849549,1.6071497870955778
M05,1835086222,250,-0.34600502730944044,0.4517224233298715
M05,1835086223,250,-0.35931419632790845,0.42673678699653866
M05,1835086224,250,-0.36508056900340813,0.4708943379690724
M05,1835086225,250,-0.3509206547725873,0.4640001120087252
M05,1835086226,250,-0.351599152477429,0.4664392285632549
M05,1835086227,250,-0.3392242103949182,0.44027384086305704
M05,1835086228,250,-0.34538767659142383,0.5235188992308161
M05,1835086229,249,-0.3533787420267284,0.7965816674044283
M05,1835086230,250,-0.4036799830119023,0.43562113660429486
M05,1835086231,240,-0.3578159933144501,1.0242488711647788
M05,1835086232,250,-0.37054541950956754,0.5037709200834491
M05,1835086233,250,-0.3430428512504401,0.49925635420869025
M05,1835086234,250,-0.34589483666769244,0.41911604130409125
M05,1835086235,250,-0.3526866205910496,0.42686795602378896
M05,1835086236,250,-0.327911784714045,0.38146361804750983
M05,1835086237,250,-0.35737105578245404,0.45022820900764426
M05,1835086238,250,-0.3660517361764328,0.49510112969442843
M1,1835086199,230,-0.5579644869592294,2.81501528067394
M1,1835086200,199,-0.5064418907546498,1.0352416428542544
M1,1835086201,228,-0.5860904005122172,4.8079445497122
M1,1835086202,180,-0.521370085136808,1.257321208825336
M1,1835086203,250,-0.5543018251837583,0.6039783905111297
M1,1835086204,201,-0.5434083396753471,1.017507056013008
M1,1835086205,212,-0.5390116077843731,1.0599396549548514
M1,1835086206,178,-0.502404675087062,5.02106560250557
M1,1835086207,239,-0.5761726254022546,1.0140810049989801
M1,1835086208,155,-0.4408661162104559,1.2124838087910916
M1,1835086209,191,-0.5162923490312392,1.1203514225483615
M1,1835086210,242,-0.5986951621613952,0.9624167407526503
M1,1835086211,187,-0.5062466203547479,1.0364140579534316
M1,1835086212,154,-0.45117689632046865,1.121133211683617
M1,1835086213,210,-0.5629929309812012,1.126359486933564
M1,1835086214,206,-0.5478999119001505,1.171273385506449
M1,1835086215,233,-0.5897757296096762,1.172026533578633
M1,1835086216,193,-0.49628329884739225,1.0451044154395808
M1,1835086217,169,-0.46947634328449306,6.0410107770807295
M1,1835086218,196,-0.52279534202535,1.059830776665701
M1,1835086219,224,-0.5705671770349003,1.1327796306111804
M1,1835086220,188,-0.5288361308731204,1.0602767948851288
M1,1835086221,199,-0.5416510941427131,1.2853729459424488
M1,1835086222,208,-0.5456010772716673,1.0383145699798884
M1,1835086223,175,-0.4829820389608338,1.0707865240904537
M1,1835086224,250,-0.6154684898913404,3.4324968196093786
M1,1835086225,223,-0.6093695416736772,1.1318128797502065
M1,1835086226,184,-0.5030606054725968,4.561584506786934
M1,1835086227,234,-0.5608421079669109,4.676270601381494
M1,1835086228,211,-0.5141336464942076,0.9890037323187038
