control,seed,treatment_blocks,control_blocks,difference
ZERO_STRENGTH,700000000,1,0,1
ZERO_STRENGTH,700000001,0,0,0
ZERO_STRENGTH,700000002,0,0,0
ZERO_STRENGTH,700000003,0,0,0
ZERO_STRENGTH,700000004,0,0,0
ZERO_STRENGTH,700000005,0,0,0
ZERO_STRENGTH,700000006,0,0,0
ZERO_STRENGTH,700000007,1,1,0
ZERO_STRENGTH,700000008,0,0,0
ZERO_STRENGTH,700000009,0,0,0
ZERO_STRENGTH,700000010,0,0,0
ZERO_STRENGTH,700000011,1,1,0
ZERO_STRENGTH,700000012,0,0,0
ZERO_STRENGTH,700000013,0,0,0
ZERO_STRENGTH,700000014,0,0,0
ZERO_STRENGTH,700000015,0,0,0
ZERO_STRENGTH,700000016,0,0,0
ZERO_STRENGTH,700000017,0,0,0
ZERO_STRENGTH,700000018,0,0,0
ZERO_STRENGTH,700000019,0,0,0
ZERO_STRENGTH,700000020,0,0,0
ZERO_STRENGTH,700000021,0,0,0
ZERO_STRENGTH,700000022,0,0,0
ZERO_STRENGTH,700000023,0,0,0
ZERO_STRENGTH,700000024,0,0,0
ZERO_STRENGTH,700000025,0,0,0
ZERO_STRENGTH,700000026,0,0,0
ZERO_STRENGTH,700000027,0,0,0
ZERO_STRENGTH,700000028,1,1,0
ZERO_STRENGTH,700000029,0,0,0
ZERO_STRENGTH,700000030,0,0,0
ZERO_STRENGTH,700000031,2,1,1
ZERO_STRENGTH,700000032,0,0,0
ZERO_STRENGTH,700000033,0,0,0
ZERO_STRENGTH,700000034,0,0,0
ZERO_STRENGTH,700000035,1,1,0
ZERO_STRENGTH,700000036,0,0,0
ZERO_STRENGTH,700000037,1,0,1
ZERO_STRENGTH,700000038,1,1,0
ZERO_STRENGTH,700000039,0,0,0
ZERO_STRENGTH,700000040,1,1,0
ZERO_STRENGTH,700000041,1,1,0
ZERO_STRENGTH,700000042,0,0,0
ZERO_STRENGTH,700000043,0,0,0
ZERO_STRENGTH,700000044,0,0,0
ZERO_STRENGTH,700000045,0,0,0
ZERO_STRENGTH,700000046,0,0,0
ZERO_STRENGTH,700000047,0,0,0
ZERO_STRENGTH,700000048,0,0,0
ZERO_STRENGTH,700000049,0,0,0
ZERO_STRENGTH,700000050,0,0,0
ZERO_STRENGTH,700000051,0,0,0
ZERO_STRENGTH,700000052,0,0,0
ZERO_STRENGTH,700000053,0,0,0
ZERO_STRENGTH,700000054,0,0,0
ZERO_STRENGTH,700000055,0,0,0
ZERO_STRENGTH,700000056,0,0,0
ZERO_STRENGTH,700000057,0,0,0
ZERO_STRENGTH,700000058,0,0,0
ZERO_STRENGTH,700000059,0,0,0
ZERO_STRENGTH,700000060,0,0,0
ZERO_STRENGTH,700000061,0,0,0
ZERO_STRENGTH,700000062,0,0,0
ZERO_STRENGTH,700000063,0,0,0
ZERO_STRENGTH,700000064,0,0,0
ZERO_STRENGTH,700000065,0,0,0
ZERO_STRENGTH,700000066,0,0,0
ZERO_STRENGTH,700000067,0,0,0
ZERO_STRENGTH,700000068,0,0,0
ZERO_STRENGTH,700000069,0,0,0
ZERO_STRENGTH,700000070,0,0,0
ZERO_STRENGTH,700000071,0,0,0
ZERO_STRENGTH,700000072,0,0,0
ZERO_STRENGTH,700000073,0,0,0
ZERO_STRENGTH,700000074,0,0,0
ZERO_STRENGTH,700000075,0,0,0
ZERO_STRENGTH,700000076,0,0,0
ZERO_STRENGTH,700000077,1,0,1
ZERO_STRENGTH,700000078,1,0,1
ZERO_STRENGTH,700000079,0,0,0
ZERO_STRENGTH,700000080,1,1,0
ZERO_STRENGTH,700000081,0,0,0
ZERO_STRENGTH,700000082,1,1,0
ZERO_STRENGTH,700000083,0,0,0
ZERO_STRENGTH,700000084,0,0,0
ZERO_STRENGTH,700000085,0,0,0
ZERO_STRENGTH,700000086,0,0,0
ZERO_STRENGTH,700000087,0,0,0
ZERO_STRENGTH,700000088,0,0,0
ZERO_STRENGTH,700000089,0,0,0
ZERO_STRENGTH,700000090,0,0,0
ZERO_STRENGTH,700000091,1,0,1
ZERO_STRENGTH,700000092,0,0,0
ZERO_STRENGTH,700000093,0,0,0
ZERO_STRENGTH,700000094,0,0,0
ZERO_STRENGTH,700000095,2,1,1
ZERO_STRENGTH,700000096,0,0,0
ZERO_STRENGTH,700000097,0,0,0
ZERO_STRENGTH,700000098,0,0,0
ZERO_STRENGTH,700000099,0,0,0
ZERO_STRENGTH,700000100,0,0,0
ZERO_STRENGTH,700000101,0,0,0
ZERO_STRENGTH,700000102,0,0,0
ZERO_STRENGTH,700000103,2,1,1
ZERO_STRENGTH,700000104,0,0,0
ZERO_STRENGTH,700000105,0,0,0
ZERO_STRENGTH,700000106,0,0,0
ZERO_STRENGTH,700000107,0,0,0
ZERO_STRENGTH,700000108,0,0,0
ZERO_STRENGTH,700000109,0,0,0
ZERO_STRENGTH,700000110,0,0,0
ZERO_STRENGTH,700000111,0,0,0
ZERO_STRENGTH,700000112,0,0,0
ZERO_STRENGTH,700000113,0,0,0
ZERO_STRENGTH,700000114,0,0,0
ZERO_STRENGTH,700000115,0,0,0
ZERO_STRENGTH,700000116,0,0,0
ZERO_STRENGTH,700000117,0,0,0
ZERO_STRENGTH,700000118,0,0,0
ZERO_STRENGTH,700000119,0,0,0
ZERO_STRENGTH,700000120,0,0,0
ZERO_STRENGTH,700000121,0,0,0
ZERO_STRENGTH,700000122,0,0,0
ZERO_STRENGTH,700000123,0,0,0
ZERO_STRENGTH,700000124,0,0,0
ZERO_STRENGTH,700000125,0,0,0
ZERO_STRENGTH,700000126,0,0,0
ZERO_STRENGTH,700000127,0,0,0
ZERO_STRENGTH,700000128,0,0,0
ZERO_STRENGTH,700000129,0,0,0
ZERO_STRENGTH,700000130,0,0,0
ZERO_STRENGTH,700000131,0,0,0
ZERO_STRENGTH,700000132,0,0,0
ZERO_STRENGTH,700000133,0,0,0
ZERO_STRENGTH,700000134,0,0,0
ZERO_STRENGTH,700000135,0,0,0
ZERO_STRENGTH,700000136,0,0,0
ZERO_STRENGTH,700000137,0,0,0
ZERO_STRENGTH,700000138,0,0,0
ZERO_STRENGTH,700000139,0,0,0
ZERO_STRENGTH,700000140,0,0,0
ZERO_STRENGTH,700000141,0,0,0
ZERO_STRENGTH,700000142,0,0,0
ZERO_STRENGTH,700000143,0,0,0
ZERO_STRENGTH,700000144,0,0,0
ZERO_STRENGTH,700000145,0,0,0
ZERO_STRENGTH,700000146,0,0,0
ZERO_STRENGTH,700000147,0,0,0
ZERO_STRENGTH,700000148,0,0,0
ZERO_STRENGTH,700000149,0,0,0
ZERO_STRENGTH,700000150,0,0,0
ZERO_STRENGTH,700000151,0,0,0
ZERO_STRENGTH,700000152,0,0,0
ZERO_STRENGTH,700000153,1,0,1
ZERO_STRENGTH,700000154,0,0,0
ZERO_STRENGTH,700000155,0,0,0
ZERO_STRENGTH,700000156,0,0,0
ZERO_STRENGTH,700000157,0,0,0
ZERO_STRENGTH,700000158,1,1,0
ZERO_STRENGTH,700000159,0,0,0
ZERO_STRENGTH,700000160,0,0,0
ZERO_STRENGTH,700000161,0,0,0
ZERO_STRENGTH,700000162,0,0,0
ZERO_STRENGTH,700000163,0,0,0
ZERO_STRENGTH,700000164,1,1,0
ZERO_STRENGTH,700000165,0,0,0
ZERO_STRENGTH,700000166,1,1,0
ZERO_STRENGTH,700000167,0,0,0
ZERO_STRENGTH,700000168,0,0,0
ZERO_STRENGTH,700000169,0,0,0
ZERO_STRENGTH,700000170,0,0,0
ZERO_STRENGTH,700000171,0,0,0
ZERO_STRENGTH,700000172,0,0,0
ZERO_STRENGTH,700000173,0,0,0
ZERO_STRENGTH,700000174,0,0,0
ZERO_STRENGTH,700000175,0,0,0
ZERO_STRENGTH,700000176,0,0,0
ZERO_STRENGTH,700000177,0,0,0
ZERO_STRENGTH,700000178,0,0,0
ZERO_STRENGTH,700000179,0,0,0
ZERO_STRENGTH,700000180,0,0,0
ZERO_STRENGTH,700000181,0,0,0
ZERO_STRENGTH,700000182,0,0,0
ZERO_STRENGTH,700000183,0,0,0
ZERO_STRENGTH,700000184,1,0,1
ZERO_STRENGTH,700000185,0,0,0
ZERO_STRENGTH,700000186,0,0,0
ZERO_STRENGTH,700000187,1,1,0
ZERO_STRENGTH,700000188,0,0,0
ZERO_STRENGTH,700000189,0,0,0
ZERO_STRENGTH,700000190,0,0,0
ZERO_STRENGTH,700000191,0,0,0
ZERO_STRENGTH,700000192,0,0,0
ZERO_STRENGTH,700000193,0,0,0
ZERO_STRENGTH,700000194,1,0,1
ZERO_STRENGTH,700000195,0,0,0
ZERO_STRENGTH,700000196,0,0,0
ZERO_STRENGTH,700000197,0,0,0
ZERO_STRENGTH,700000198,0,0,0
ZERO_STRENGTH,700000199,0,0,0
ZERO_STRENGTH,700000200,0,0,0
ZERO_STRENGTH,700000201,0,0,0
ZERO_STRENGTH,700000202,0,0,0
ZERO_STRENGTH,700000203,0,0,0
ZERO_STRENGTH,700000204,0,0,0
ZERO_STRENGTH,700000205,2,0,2
ZERO_STRENGTH,700000206,0,0,0
ZERO_STRENGTH,700000207,0,0,0
ZERO_STRENGTH,700000208,0,0,0
ZERO_STRENGTH,700000209,0,0,0
ZERO_STRENGTH,700000210,0,0,0
ZERO_STRENGTH,700000211,0,0,0
ZERO_STRENGTH,700000212,1,1,0
ZERO_STRENGTH,700000213,0,0,0
ZERO_STRENGTH,700000214,1,1,0
ZERO_STRENGTH,700000215,0,0,0
ZERO_STRENGTH,700000216,0,0,0
ZERO_STRENGTH,700000217,0,0,0
ZERO_STRENGTH,700000218,0,0,0
ZERO_STRENGTH,700000219,0,0,0
ZERO_STRENGTH,700000220,0,0,0
ZERO_STRENGTH,700000221,0,0,0
ZERO_STRENGTH,700000222,0,0,0
ZERO_STRENGTH,700000223,0,0,0
ZERO_STRENGTH,700000224,0,0,0
ZERO_STRENGTH,700000225,0,0,0
ZERO_STRENGTH,700000226,0,0,0
ZERO_STRENGTH,700000227,0,0,0
ZERO_STRENGTH,700000228,0,0,0
ZERO_STRENGTH,700000229,0,0,0
ZERO_STRENGTH,700000230,1,0,1
ZERO_STRENGTH,700000231,0,0,0
ZERO_STRENGTH,700000232,0,0,0
ZERO_STRENGTH,700000233,0,0,0
ZERO_STRENGTH,700000234,0,0,0
ZERO_STRENGTH,700000235,0,0,0
ZERO_STRENGTH,700000236,0,0,0
ZERO_STRENGTH,700000237,0,0,0
ZERO_STRENGTH,700000238,0,0,0
ZERO_STRENGTH,700000239,0,0,0
ZERO_STRENGTH,700000240,0,0,0
ZERO_STRENGTH,700000241,0,0,0
ZERO_STRENGTH,700000242,0,0,0
ZERO_STRENGTH,700000243,0,0,0
ZERO_STRENGTH,700000244,0,0,0
ZERO_STRENGTH,700000245,0,0,0
ZERO_STRENGTH,700000246,1,1,0
ZERO_STRENGTH,700000247,0,0,0
ZERO_STRENGTH,700000248,0,0,0
ZERO_STRENGTH,700000249,0,0,0
ZERO_STRENGTH,700000250,0,0,0
ZERO_STRENGTH,700000251,0,0,0
ZERO_STRENGTH,700000252,1,1,0
ZERO_STRENGTH,700000253,1,1,0
ZERO_STRENGTH,700000254,0,0,0
ZERO_STRENGTH,700000255,0,0,0
ZERO_STRENGTH,700000256,0,0,0
ZERO_STRENGTH,700000257,0,0,0
ZERO_STRENGTH,700000258,0,0,0
ZERO_STRENGTH,700000259,0,0,0
ZERO_STRENGTH,700000260,0,0,0
ZERO_STRENGTH,700000261,0,0,0
ZERO_STRENGTH,700000262,0,0,0
ZERO_STRENGTH,700000263,0,0,0
ZERO_STRENGTH,700000264,0,0,0
ZERO_STRENGTH,700000265,0,0,0
ZERO_STRENGTH,700000266,0,0,0
ZERO_STRENGTH,700000267,1,1,0
ZERO_STRENGTH,700000268,0,0,0
ZERO_STRENGTH,700000269,0,0,0
ZERO_STRENGTH,700000270,1,1,0
ZERO_STRENGTH,700000271,1,1,0
ZERO_STRENGTH,700000272,0,0,0
ZERO_STRENGTH,700000273,0,0,0
ZERO_STRENGTH,700000274,0,0,0
ZERO_STRENGTH,700000275,0,0,0
ZERO_STRENGTH,700000276,0,0,0
ZERO_STRENGTH,700000277,0,0,0
ZERO_STRENGTH,700000278,0,0,0
ZERO_STRENGTH,700000279,0,0,0
ZERO_STRENGTH,700000280,0,0,0
ZERO_STRENGTH,700000281,0,0,0
ZERO_STRENGTH,700000282,0,0,0
ZERO_STRENGTH,700000283,0,0,0
ZERO_STRENGTH,700000284,0,0,0
ZERO_STRENGTH,700000285,0,0,0
ZERO_STRENGTH,700000286,0,0,0
ZERO_STRENGTH,700000287,0,0,0
ZERO_STRENGTH,700000288,0,0,0
ZERO_STRENGTH,700000289,0,0,0
ZERO_STRENGTH,700000290,0,0,0
ZERO_STRENGTH,700000291,3,1,2
ZERO_STRENGTH,700000292,1,0,1
ZERO_STRENGTH,700000293,1,0,1
ZERO_STRENGTH,700000294,0,0,0
ZERO_STRENGTH,700000295,0,0,0
ZERO_STRENGTH,700000296,0,0,0
ZERO_STRENGTH,700000297,0,0,0
ZERO_STRENGTH,700000298,0,0,0
ZERO_STRENGTH,700000299,0,0,0
ZERO_DEPENDENCY,700000000,1,0,1
ZERO_DEPENDENCY,700000001,0,0,0
ZERO_DEPENDENCY,700000002,0,0,0
ZERO_DEPENDENCY,700000003,0,0,0
ZERO_DEPENDENCY,700000004,0,0,0
ZERO_DEPENDENCY,700000005,0,0,0
ZERO_DEPENDENCY,700000006,0,0,0
ZERO_DEPENDENCY,700000007,1,1,0
ZERO_DEPENDENCY,700000008,0,0,0
ZERO_DEPENDENCY,700000009,0,0,0
ZERO_DEPENDENCY,700000010,0,0,0
ZERO_DEPENDENCY,700000011,1,1,0
ZERO_DEPENDENCY,700000012,0,0,0
ZERO_DEPENDENCY,700000013,0,0,0
ZERO_DEPENDENCY,700000014,0,0,0
ZERO_DEPENDENCY,700000015,0,0,0
ZERO_DEPENDENCY,700000016,0,0,0
ZERO_DEPENDENCY,700000017,0,0,0
ZERO_DEPENDENCY,700000018,0,0,0
ZERO_DEPENDENCY,700000019,0,0,0
ZERO_DEPENDENCY,700000020,0,0,0
ZERO_DEPENDENCY,700000021,0,0,0
ZERO_DEPENDENCY,700000022,0,0,0
ZERO_DEPENDENCY,700000023,0,0,0
ZERO_DEPENDENCY,700000024,0,0,0
ZERO_DEPENDENCY,700000025,0,0,0
ZERO_DEPENDENCY,700000026,0,0,0
ZERO_DEPENDENCY,700000027,0,0,0
ZERO_DEPENDENCY,700000028,1,1,0
ZERO_DEPENDENCY,700000029,0,0,0
ZERO_DEPENDENCY,700000030,0,0,0
ZERO_DEPENDENCY,700000031,2,1,1
ZERO_DEPENDENCY,700000032,0,0,0
ZERO_DEPENDENCY,700000033,0,0,0
ZERO_DEPENDENCY,700000034,0,0,0
ZERO_DEPENDENCY,700000035,1,1,0
ZERO_DEPENDENCY,700000036,0,0,0
ZERO_DEPENDENCY,700000037,1,0,1
