sweep,seed,rr,phi,alpha,successor_capability,successor_capability_growth_rate,defection_weight,defection_target,inheritance_mode,max_generations,steps_run,survived,final_population,peak_population,final_ai_generation,max_ai_generation,yield_eval_count,yield_fire_count,yield_fire_rate,first_yield_fire_step,first_honest_advantage,first_actual_advantage,first_transition_cost,honest_reject_actual_would_fire_count,mean_l_t,final_l_t,min_l_t,mean_actual_minus_honest_objective,max_successor_capability_seen,max_active_capability_seen,knowledge_transfer_verified,l_t_gen_1,l_t_gen_2,l_t_gen_3,l_t_gen_4,l_t_gen_5,error
3-corner-density,0,0.064,25.0,0.4,2.0,1.25,0.5,H_C_inflated,lineage,4,500,False,27,218,2,2,500,1,0.002,3,0.008078413076821889,0.43502300055703813,4.559550483178482,0,0.3531102780334766,0.10035738273599558,0.06673786749217363,6.410957606029344,2.5,2.0,True,0.11459424498018984,0.3545500126394321,0.0,0.0,0.0,
3-corner-density,8,0.064,25.0,0.4,2.0,1.25,0.5,H_C_inflated,lineage,4,500,True,58,281,3,3,500,2,0.004,3,0.007672848392116904,0.3474696766663232,4.559550483178482,0,0.5127288734786594,0.277784708075836,0.10377831976006285,6.384990085404027,3.125,2.5,True,0.12726121693017467,0.6351034292760758,0.509230536318965,0.0,0.0,
3-corner-density,9,0.064,25.0,0.4,2.0,1.25,0.5,H_C_inflated,lineage,4,500,False,1,211,2,2,500,1,0.002,4,0.007754946846816324,0.37802349938092483,4.559550483178482,0,0.3208389704131717,0.011657798233650983,0.011479417932466053,6.426666572977493,2.5,2.0,True,0.12266293388182048,0.3224371642561665,0.0,0.0,0.0,
3-corner-density,7,0.064,25.0,0.4,2.0,1.25,0.5,H_C_inflated,lineage,4,500,True,73,241,3,3,500,2,0.004,3,0.007387534430854714,0.34582939367757426,4.559550483178482,0,0.4227281994886195,0.3447328780340831,0.10090094266893399,6.371799490999941,3.125,2.5,True,0.12394501098741488,0.6840593669388245,0.4066717526221615,0.0,0.0,
3-corner-density,5,0.064,25.0,0.4,2.0,1.25,0.5,H_C_inflated,lineage,4,500,False,23,207,2,2,500,1,0.002,4,0.00858224135216723,0.3846486162214102,4.559550483178482,0,0.3426383317743891,0.10483288290672703,0.0688708478508548,6.407990288399513,2.5,2.0,True,0.13030228192210647,0.34435071927319794,0.0,0.0,0.0,
3-corner-density,6,0.064,25.0,0.4,2.0,1.25,0.5,H_C_inflated,lineage,4,500,False,17,237,3,3,500,2,0.004,5,0.007299979490944963,0.4258338266415027,4.559550483178482,2,0.3168651377970425,0.058698766691734766,0.05228846394564696,6.419673555416521,3.125,2.5,True,0.13414471582424312,0.6823232082893178,0.29855318103172235,0.0,0.0,
3-corner-density,2,0.064,25.0,0.4,2.0,1.25,0.5,H_C_inflated,lineage,4,500,True,48,211,2,2,500,1,0.002,4,0.0074674353191728216,0.29148422984404476,4.559550483178482,0,0.35540050240866733,0.2075442132853564,0.09567171199938293,6.393948832828779,2.5,2.0,True,0.12672851365252577,0.35724463135024914,0.0,0.0,0.0,
3-corner-density,3,0.064,25.0,0.4,2.0,1.25,0.5,H_C_inflated,lineage,4,500,False,12,256,3,3,500,2,0.004,4,0.007449102343102254,0.4446695356057546,4.559550483178482,0,0.41146139649337415,0.07251583244466892,0.05937224540107334,6.412257299934842,3.125,2.5,True,0.13463223051751205,0.686432122430646,0.399825844038732,0.0,0.0,
3-corner-density,11,0.064,25.0,0.4,2.0,1.25,0.5,H_C_inflated,lineage,4,500,False,20,211,3,3,500,2,0.004,3,0.007805045759694096,0.34578107483955556,4.559550483178482,0,0.34988009499045575,0.08302058220205827,0.06614536275857158,6.413877858210786,3.125,2.5,True,0.118404871930947,0.560260463492301,0.3411367979306163,0.0,0.0,
3-corner-density,1,0.064,25.0,0.4,2.0,1.25,0.5,H_C_inflated,lineage,4,500,True,31,225,3,3,500,2,0.004,4,0.007796310748711122,0.4441896782940873,4.559550483178482,0,0.440719989014677,0.13125640930894528,0.09996152390549583,6.400265648550369,3.125,2.5,True,0.12960954266535835,0.6824579658353713,0.42728034278662486,0.0,0.0,
3-corner-density,10,0.064,25.0,0.4,2.0,1.25,0.5,H_C_inflated,lineage,4,500,False,7,228,3,3,500,2,0.004,4,0.008269167449419967,0.41851340287185224,4.559550483178482,0,0.36214377868199404,0.09519233774646374,0.049731512805039,6.412666613362965,3.125,2.5,True,0.12164637812970358,0.6363198437636376,0.3502407363943876,0.0,0.0,
3-corner-density,4,0.064,25.0,0.4,2.0,1.25,0.5,H_C_inflated,lineage,4,500,False,5,224,3,3,500,2,0.004,4,0.007508149313609991,0.3289710873519667,4.559550483178482,0,0.32490629061661586,0.05168168743435056,0.04842882699553026,6.425751107088611,3.125,2.5,True,0.127473295155633,0.5681271679325246,0.3163460268257037,0.0,0.0,
3-corner-density,12,0.064,25.0,0.4,2.0,1.25,0.5,H_C_inflated,lineage,4,500,True,52,221,3,3,500,2,0.004,4,0.00846555149313133,0.3999018569333579,4.559550483178482,1,0.4327491962095761,0.22633456403700067,0.09556605605330187,6.390100573115829,3.125,2.5,True,0.12348907429902872,0.7251197029233625,0.410505412239783,0.0,0.0,
3-corner-density,16,0.064,25.0,0.4,2.0,1.25,0.5,H_C_inflated,lineage,4,500,False,1,231,3,3,500,2,0.004,3,0.008475298344857052,0.2765432395879568,4.559550483178482,1,0.29689509258215896,0.010899162838788808,0.0066994472618653305,6.4274133619948435,3.125,2.5,True,0.12200851982463762,0.6831243862509896,0.2749553047261788,0.0,0.0,
3-corner-density,14,0.064,25.0,0.4,2.0,1.25,0.5,H_C_inflated,lineage,4,500,False,9,218,3,3,500,2,0.004,3,0.008765352171804963,0.31572899303259305,4.559550483178482,0,0.43727363486763327,0.07651398129461338,0.07480876156462037,6.413308871072035,3.125,2.5,True,0.1189438066599459,0.6745672905921359,0.42191079510519264,0.0,0.0,
