sweep,seed,rr,phi,alpha,successor_capability,successor_capability_growth_rate,defection_weight,defection_target,inheritance_mode,max_generations,steps_run,survived,final_population,peak_population,final_ai_generation,max_ai_generation,yield_eval_count,yield_fire_count,yield_fire_rate,first_yield_fire_step,first_honest_advantage,first_actual_advantage,first_transition_cost,honest_reject_actual_would_fire_count,mean_l_t,final_l_t,min_l_t,mean_actual_minus_honest_objective,max_successor_capability_seen,max_active_capability_seen,knowledge_transfer_verified,l_t_gen_1,l_t_gen_2,l_t_gen_3,l_t_gen_4,l_t_gen_5,error
dry-run,0,0.064,25.0,1.5,2.0,1.5,0.0,H_N_inflated,lineage,3,60,True,158,203,1,1,60,0,0.0,-1,-0.07535551829583653,-0.07535551829583653,4.559550483178482,0,0.24981151918016342,0.286781129536035,0.09702225724695829,1.4936039477247363,2.0,1.0,False,0.24981151918016342,0.0,0.0,0.0,0.0,
dry-run,0,0.064,25.0,1.0,2.0,1.5,0.0,H_N_inflated,instance,3,60,True,137,202,1,1,60,0,0.0,-1,-0.05500110828591254,-0.05500110828591254,4.559550483178482,0,0.2526920488307101,0.24759382291643017,0.09637013736623151,1.5459035424508334,2.0,1.0,False,0.2526920488307101,0.0,0.0,0.0,0.0,
dry-run,0,0.064,25.0,1.5,2.0,1.5,0.0,H_N_inflated,instance,3,60,True,115,197,1,1,60,0,0.0,-1,-0.07642610298723262,-0.07642610298723262,4.559550483178482,0,0.21869531293452843,0.2227339626589489,0.09482230597072998,1.579030233518299,2.0,1.0,False,0.21869531293452843,0.0,0.0,0.0,0.0,
dry-run,0,0.064,25.0,1.0,2.0,1.5,0.0,H_N_inflated,lineage,3,60,True,173,213,1,1,60,0,0.0,-1,-0.054615895738455045,-0.054615895738455045,4.559550483178482,0,0.299068019941086,0.31158788667902887,0.0975315117334497,1.4605318221618426,2.0,1.0,False,0.299068019941086,0.0,0.0,0.0,0.0,
dry-run,0,0.064,25.0,1.0,2.0,1.5,0.0,H_C_inflated,lineage,3,60,True,101,205,1,1,60,0,0.0,-1,-0.05498369837949113,-0.05498369837949113,4.559550483178482,0,0.218677051210801,0.1959497517425521,0.09842893342244068,1.6147607981937364,2.0,1.0,False,0.218677051210801,0.0,0.0,0.0,0.0,
dry-run,0,0.064,25.0,1.0,2.0,1.5,0.0,H_C_inflated,instance,3,60,True,168,207,2,2,60,1,0.016666666666666666,42,-0.054628324583914534,-0.054628324583914534,4.559550483178482,0,0.3063316065173798,0.36569862317706686,0.09256727911564318,1.4583859775068613,3.0,2.0,True,0.27424090744091856,0.38120990436245594,0.0,0.0,0.0,
dry-run,0,0.064,25.0,1.5,2.0,1.5,0.0,H_C_inflated,instance,3,60,True,153,209,1,1,60,0,0.0,-1,-0.07553227101848137,-0.07553227101848137,4.559550483178482,0,0.2800251931200981,0.2938932198919536,0.09741425249423068,1.4841265376080506,2.0,1.0,False,0.2800251931200981,0.0,0.0,0.0,0.0,
dry-run,0,0.064,25.0,1.5,2.0,1.5,0.0,H_C_inflated,lineage,3,60,True,114,203,1,1,60,0,0.0,-1,-0.0755704034429403,-0.0755704034429403,4.559550483178482,0,0.23799579602391863,0.2227687433697228,0.09576522267604207,1.5789598309409147,2.0,1.0,False,0.23799579602391863,0.0,0.0,0.0,0.0,
dry-run,0,0.064,25.0,1.0,2.0,1.5,0.5,H_N_inflated,lineage,3,60,True,126,201,1,1,60,0,0.0,-1,-0.05526717055495123,-0.050267170554951335,4.559550483178482,0,0.25184599753252285,0.23550062468389463,0.0961395193878656,1.5620633681552296,2.0,1.0,False,0.25184599753252285,0.0,0.0,0.0,0.0,
dry-run,0,0.064,25.0,1.0,2.0,1.5,0.5,H_N_inflated,instance,3,60,True,166,222,2,2,60,1,0.016666666666666666,31,-0.05437941765016241,-0.049379417650162516,4.559550483178482,1,0.34218155313837423,0.4098630187303616,0.09592109149052416,1.653442990934473,3.0,2.0,True,0.2617520291556123,0.4281579408440853,0.0,0.0,0.0,
dry-run,0,0.064,25.0,1.5,2.0,1.5,0.5,H_N_inflated,instance,3,60,True,144,205,1,1,60,0,0.0,-1,-0.07575600372826319,-0.0707560037282633,4.559550483178482,0,0.25663027168450075,0.2507415391769651,0.09710807801855706,1.5416684726051868,2.0,1.0,False,0.25663027168450075,0.0,0.0,0.0,0.0,
dry-run,0,0.064,25.0,1.5,2.0,1.5,0.5,H_N_inflated,lineage,3,60,True,119,203,1,1,60,0,0.0,-1,-0.07210466225466039,-0.0671046622546605,4.559550483178482,0,0.23555707495704745,0.22375308341531186,0.0924287928593639,1.5775533729543194,2.0,1.0,False,0.23555707495704745,0.0,0.0,0.0,0.0,
dry-run,0,0.064,25.0,1.0,2.0,1.5,0.5,H_C_inflated,instance,3,60,True,125,214,1,1,60,0,0.0,-1,-0.0549061667276467,0.3886632685698057,4.559550483178482,0,0.2657864457570488,0.23361762578795076,0.10092132332610859,1.5645285526652977,2.0,1.0,False,0.2657864457570488,0.0,0.0,0.0,0.0,
dry-run,0,0.064,25.0,1.0,2.0,1.5,0.5,H_C_inflated,lineage,3,60,True,158,200,1,1,60,0,0.0,-1,-0.05494492531247275,0.33348999461331275,4.559550483178482,0,0.27734561062803464,0.30807512076355165,0.09671909237824942,1.4652564496776441,2.0,1.0,False,0.27734561062803464,0.0,0.0,0.0,0.0,
dry-run,0,0.064,25.0,1.5,2.0,1.5,0.5,H_C_inflated,instance,3,60,True,140,210,1,1,60,0,0.0,-1,-0.07562391236451216,0.31394922859121976,4.559550483178482,0,0.25178924650989115,0.2697624086407819,0.09909181637605616,1.5163033814571254,2.0,1.0,False,0.25178924650989115,0.0,0.0,0.0,0.0,
dry-run,0,0.064,25.0,1.5,2.0,1.5,0.5,H_C_inflated,lineage,3,60,True,111,198,1,1,60,0,0.0,-1,-0.07574379377565421,0.3511715013633516,4.559550483178482,0,0.23142704414685325,0.2059384738974131,0.09459658097676557,1.6014053489051192,2.0,1.0,False,0.23142704414685325,0.0,0.0,0.0,0.0,
