sweep,seed,rr,phi,alpha,successor_capability,successor_capability_growth_rate,defection_weight,defection_target,inheritance_mode,max_generations,steps_run,survived,final_population,peak_population,final_ai_generation,max_ai_generation,yield_eval_count,yield_fire_count,yield_fire_rate,first_yield_fire_step,first_honest_advantage,first_actual_advantage,first_transition_cost,honest_reject_actual_would_fire_count,mean_l_t,final_l_t,min_l_t,mean_actual_minus_honest_objective,max_successor_capability_seen,max_active_capability_seen,knowledge_transfer_verified,l_t_gen_1,l_t_gen_2,l_t_gen_3,l_t_gen_4,l_t_gen_5,error
2,5,0.064,25.0,1.0,2.0,1.5,0.0,H_N_inflated,lineage,5,500,True,65,269,2,2,500,1,0.002,12,-0.05513817863432724,-0.05513817863432724,4.559550483178482,0,0.4629795968299328,0.23557950594191865,0.09815522033506022,6.29435699068475,3.0,2.0,True,0.21601867256556684,0.46905240644299095,0.0,0.0,0.0,
2,6,0.064,25.0,1.0,2.0,1.5,0.0,H_N_inflated,lineage,5,500,True,61,200,2,2,500,1,0.002,17,-0.054921304429061735,-0.054921304429061735,4.559550483178482,0,0.3429948498641851,0.2622121858407508,0.0969053882590863,6.289476551399323,3.0,2.0,True,0.22991005285068053,0.34697506011103724,0.0,0.0,0.0,
2,10,0.064,25.0,1.0,2.0,1.5,0.0,H_N_inflated,lineage,5,500,False,22,234,2,2,500,1,0.002,11,-0.054541910292176254,-0.054541910292176254,4.559550483178482,0,0.3465326915817085,0.07359256107063955,0.06190231267457671,6.318541009323786,3.0,2.0,True,0.20554047729129463,0.34970429558415134,0.0,0.0,0.0,
2,0,0.064,25.0,1.0,2.0,1.5,0.0,H_N_inflated,lineage,5,500,True,34,215,2,2,500,1,0.002,12,-0.054640437068466774,-0.054640437068466774,4.559550483178482,0,0.4123404750944512,0.13221580104789338,0.09722401514694082,6.310252742678485,3.0,2.0,True,0.19740713064302148,0.4176257212694863,0.0,0.0,0.0,
2,2,0.064,25.0,1.0,2.0,1.5,0.0,H_N_inflated,lineage,5,500,True,46,208,2,2,500,1,0.002,9,-0.05463516504961419,-0.05463516504961419,4.559550483178482,0,0.3173377751290583,0.1779343676226927,0.09314711861490817,6.302045573050122,3.0,2.0,True,0.1673993182552466,0.32008613788234613,0.0,0.0,0.0,
2,9,0.064,25.0,1.0,2.0,1.5,0.0,H_N_inflated,lineage,5,500,False,27,232,2,2,500,1,0.002,11,-0.05510691589213046,-0.05510691589213046,4.559550483178482,0,0.28349958226120064,0.10446220991877346,0.062007910181498,6.315252054256178,3.0,2.0,True,0.18515212890747962,0.2857118971628181,0.0,0.0,0.0,
2,3,0.064,25.0,1.0,2.0,1.5,0.0,H_N_inflated,lineage,5,500,True,80,235,2,2,500,1,0.002,10,-0.05498884486229727,-0.05498884486229727,4.559550483178482,0,0.5699219520157109,0.3347332119962423,0.09696614410789436,6.277086326563931,3.0,2.0,True,0.17985575371664822,0.5778824866748755,0.0,0.0,0.0,
2,4,0.064,25.0,1.0,2.0,1.5,0.0,H_N_inflated,lineage,5,500,True,87,216,2,2,500,1,0.002,11,-0.05501758505325771,-0.05501758505325771,4.559550483178482,0,0.3650417851195505,0.3599930432473534,0.09922401496216281,6.273548652184827,3.0,2.0,True,0.19457395272780342,0.36887643983592927,0.0,0.0,0.0,
2,8,0.064,25.0,1.0,2.0,1.5,0.0,H_N_inflated,lineage,5,500,True,74,229,2,2,500,1,0.002,9,-0.05465660598921307,-0.05465660598921307,4.559550483178482,0,0.4300947970790679,0.29118602688830847,0.09790569651279223,6.287953542427742,3.0,2.0,True,0.17778481787416256,0.4347196235818055,0.0,0.0,0.0,
2,1,0.064,25.0,1.0,2.0,1.5,0.0,H_N_inflated,lineage,5,500,True,59,225,2,2,500,1,0.002,11,-0.05514184305363656,-0.05514184305363656,4.559550483178482,0,0.4358512065225909,0.24058860248468023,0.0982429154644168,6.292146570182517,3.0,2.0,True,0.1910495382904113,0.4413579925155439,0.0,0.0,0.0,
2,7,0.064,25.0,1.0,2.0,1.5,0.0,H_N_inflated,lineage,5,500,False,19,229,2,2,500,1,0.002,9,-0.05487992918569162,-0.05487992918569162,4.559550483178482,0,0.31572206029236677,0.06060623695401918,0.05221707256176913,6.32076869728813,3.0,2.0,True,0.17699056204048821,0.3182650001788574,0.0,0.0,0.0,
2,11,0.064,25.0,1.0,2.0,1.5,0.0,H_N_inflated,lineage,5,500,True,34,219,2,2,500,1,0.002,10,-0.05504825901546084,-0.05504825901546084,4.559550483178482,0,0.36493576720457277,0.1515656273798961,0.0956421222158433,6.306692901293069,3.0,2.0,True,0.18901912241669977,0.36852590281248854,0.0,0.0,0.0,
2,12,0.064,25.0,1.0,2.0,1.5,0.0,H_N_inflated,lineage,5,500,True,31,228,2,2,500,1,0.002,9,-0.054889153408391955,-0.054889153408391955,4.559550483178482,0,0.4038882601453523,0.12723608806039416,0.07813365730345068,6.312406057115985,3.0,2.0,True,0.17703034178886382,0.40804655192785405,0.0,0.0,0.0,
2,17,0.064,25.0,1.0,2.0,1.5,0.0,H_N_inflated,lineage,5,500,True,30,256,2,2,500,1,0.002,10,-0.05492572657246342,-0.05492572657246342,4.559550483178482,0,0.31095764554700717,0.12347289411500628,0.09280601823060458,6.311177724751134,3.0,2.0,True,0.20709180527124205,0.3130773565730432,0.0,0.0,0.0,
2,13,0.064,25.0,1.0,2.0,1.5,0.0,H_N_inflated,lineage,5,500,False,28,228,2,2,500,1,0.002,10,-0.05498930603493246,-0.05498930603493246,4.559550483178482,0,0.33085368145139954,0.13016531799455444,0.09695040564168977,6.310534285518729,3.0,2.0,True,0.1898154928102594,0.333732011831831,0.0,0.0,0.0,
2,14,0.064,25.0,1.0,2.0,1.5,0.0,H_N_inflated,lineage,5,500,False,4,221,2,2,500,1,0.002,10,-0.05493444536118108,-0.05493444536118108,4.559550483178482,0,0.31929817835498964,0.10566455868246136,0.011668067312951358,6.31448722276747,3.0,2.0,True,0.180202311027929,0.32213686952492965,0.0,0.0,0.0,
2,20,0.064,25.0,1.0,2.0,1.5,0.0,H_N_inflated,lineage,5,500,True,31,230,2,2,500,1,0.002,9,-0.05485349511214199,-0.05485349511214199,4.559550483178482,0,0.31574421112387846,0.12904851837931006,0.07990447918914038,6.310195975863844,3.0,2.0,True,0.17959958702148904,0.31823973376526643,0.0,0.0,0.0,
