substrate,category,cell,seed,rr,phi,alpha,successor_capability,cop_cost_audit,survived,collapsed,extinct,final_population,final_ai_generation,yield_fired,max_yield_margin,knowledge_transfer_verified,steps_completed,end_reason,peak_population,min_viable_population,survival_threshold,elapsed_seconds,source_path,source_head,non_registered,worker_pid
v20,A,013c5fecee604b67,1835089000,0.056,100.0,1.0,1.0,True,False,True,False,62,1,False,-3.0892177079282623,False,300,step_limit,220,50,143.0,108.02794649999123,C:\Users\matty\Dev\phase-b-recon-v20,2044f50a8cf71874f259e74fd05ec495169b9ae4,False,13328
v20,A,013c5fecee604b67,1835089001,0.056,100.0,1.0,1.0,True,False,True,False,21,1,False,-3.1033998971713777,False,300,step_limit,201,50,130.65,108.72598589997506,C:\Users\matty\Dev\phase-b-recon-v20,2044f50a8cf71874f259e74fd05ec495169b9ae4,False,37772
v20,A,013c5fecee604b67,1835089002,0.056,100.0,1.0,1.0,True,False,True,False,34,1,False,-3.105576426066297,False,300,step_limit,228,50,148.20000000000002,108.14876549999462,C:\Users\matty\Dev\phase-b-recon-v20,2044f50a8cf71874f259e74fd05ec495169b9ae4,False,37884
v20,A,013c5fecee604b67,1835089003,0.056,100.0,1.0,1.0,True,False,True,False,63,1,False,-3.099457818666001,False,300,step_limit,248,50,161.20000000000002,108.09752000001026,C:\Users\matty\Dev\phase-b-recon-v20,2044f50a8cf71874f259e74fd05ec495169b9ae4,False,23360
v20,A,013c5fecee604b67,1835089004,0.056,100.0,1.0,1.0,True,False,True,False,4,1,False,-3.104799219986802,False,300,step_limit,216,50,140.4,106.3689466000069,C:\Users\matty\Dev\phase-b-recon-v20,2044f50a8cf71874f259e74fd05ec495169b9ae4,False,46440
v20,A,013c5fecee604b67,1835089005,0.056,100.0,1.0,1.0,True,False,True,False,30,1,False,-3.0782565649994607,False,300,step_limit,221,50,143.65,108.75972929998534,C:\Users\matty\Dev\phase-b-recon-v20,2044f50a8cf71874f259e74fd05ec495169b9ae4,False,40044
v20,A,013c5fecee604b67,1835089006,0.056,100.0,1.0,1.0,True,False,True,False,40,1,False,-3.1084057589658816,False,300,step_limit,243,50,157.95000000000002,107.70728470000904,C:\Users\matty\Dev\phase-b-recon-v20,2044f50a8cf71874f259e74fd05ec495169b9ae4,False,46784
v20,A,013c5fecee604b67,1835089007,0.056,100.0,1.0,1.0,True,False,True,False,22,1,False,-3.107314265840291,False,300,step_limit,207,50,134.55,108.06137330003548,C:\Users\matty\Dev\phase-b-recon-v20,2044f50a8cf71874f259e74fd05ec495169b9ae4,False,22904
v20,A,013c5fecee604b67,1835089008,0.056,100.0,1.0,1.0,True,False,True,False,48,1,False,-3.0957356942603567,False,300,step_limit,217,50,141.05,107.40945919998921,C:\Users\matty\Dev\phase-b-recon-v20,2044f50a8cf71874f259e74fd05ec495169b9ae4,False,48224
v20,A,013c5fecee604b67,1835089009,0.056,100.0,1.0,1.0,True,False,True,False,5,1,False,-3.1007173440518843,False,300,step_limit,244,50,158.6,103.90532799996436,C:\Users\matty\Dev\phase-b-recon-v20,2044f50a8cf71874f259e74fd05ec495169b9ae4,False,49580
v20,A,013c5fecee604b67,1835089010,0.056,100.0,1.0,1.0,True,False,True,False,9,1,False,-3.095878528923075,False,300,step_limit,215,50,139.75,104.68642310000723,C:\Users\matty\Dev\phase-b-recon-v20,2044f50a8cf71874f259e74fd05ec495169b9ae4,False,19688
v20,A,013c5fecee604b67,1835089011,0.056,100.0,1.0,1.0,True,False,True,False,13,1,False,-3.113415187647342,False,300,step_limit,214,50,139.1,107.97205760003999,C:\Users\matty\Dev\phase-b-recon-v20,2044f50a8cf71874f259e74fd05ec495169b9ae4,False,53200
v20,A,013c5fecee604b67,1835089012,0.056,100.0,1.0,1.0,True,False,True,False,20,1,False,-3.0881651005572515,False,300,step_limit,214,50,139.1,107.84096900001168,C:\Users\matty\Dev\phase-b-recon-v20,2044f50a8cf71874f259e74fd05ec495169b9ae4,False,49752
v20,A,013c5fecee604b67,1835089013,0.056,100.0,1.0,1.0,True,False,True,False,11,1,False,-3.091392320362565,False,300,step_limit,223,50,144.95000000000002,106.24391040002229,C:\Users\matty\Dev\phase-b-recon-v20,2044f50a8cf71874f259e74fd05ec495169b9ae4,False,36916
v20,A,013c5fecee604b67,1835089014,0.056,100.0,1.0,1.0,True,False,True,False,14,1,False,-3.089272462192654,False,300,step_limit,213,50,138.45000000000002,106.94682569999713,C:\Users\matty\Dev\phase-b-recon-v20,2044f50a8cf71874f259e74fd05ec495169b9ae4,False,18960
v20,A,013c5fecee604b67,1835089015,0.056,100.0,1.0,1.0,True,False,True,False,106,1,False,-3.0925807535478524,False,300,step_limit,270,50,175.5,108.53744709998136,C:\Users\matty\Dev\phase-b-recon-v20,2044f50a8cf71874f259e74fd05ec495169b9ae4,False,48288
v20,A,013c5fecee604b67,1835089016,0.056,100.0,1.0,1.0,True,False,True,False,13,1,False,-3.1124542831458326,False,300,step_limit,207,50,134.55,107.95493249996798,C:\Users\matty\Dev\phase-b-recon-v20,2044f50a8cf71874f259e74fd05ec495169b9ae4,False,42120
v20,A,013c5fecee604b67,1835089017,0.056,100.0,1.0,1.0,True,False,True,False,21,1,False,-3.1027745760347907,False,300,step_limit,222,50,144.3,104.77837869996438,C:\Users\matty\Dev\phase-b-recon-v20,2044f50a8cf71874f259e74fd05ec495169b9ae4,False,20772
v20,A,013c5fecee604b67,1835089018,0.056,100.0,1.0,1.0,True,False,True,False,3,1,False,-3.0842335837934787,False,300,step_limit,205,50,133.25,106.00465020001866,C:\Users\matty\Dev\phase-b-recon-v20,2044f50a8cf71874f259e74fd05ec495169b9ae4,False,38532
v20,A,013c5fecee604b67,1835089019,0.056,100.0,1.0,1.0,True,False,True,False,17,1,False,-3.0999194043198703,False,300,step_limit,224,50,145.6,109.32938489998924,C:\Users\matty\Dev\phase-b-recon-v20,2044f50a8cf71874f259e74fd05ec495169b9ae4,False,42620
v20,A,013c5fecee604b67,1835089020,0.056,100.0,1.0,1.0,True,False,True,False,27,1,False,-3.0950257427756127,False,300,step_limit,229,50,148.85,110.77985260001151,C:\Users\matty\Dev\phase-b-recon-v20,2044f50a8cf71874f259e74fd05ec495169b9ae4,False,54004
v20,A,013c5fecee604b67,1835089021,0.056,100.0,1.0,1.0,True,False,True,False,6,1,False,-3.09814353258841,False,300,step_limit,205,50,133.25,108.75367329997243,C:\Users\matty\Dev\phase-b-recon-v20,2044f50a8cf71874f259e74fd05ec495169b9ae4,False,12292
v20,A,013c5fecee604b67,1835089022,0.056,100.0,1.0,1.0,True,False,True,False,39,1,False,-3.1025004070781526,False,300,step_limit,206,50,133.9,107.53640340000857,C:\Users\matty\Dev\phase-b-recon-v20,2044f50a8cf71874f259e74fd05ec495169b9ae4,False,40460
v20,A,013c5fecee604b67,1835089023,0.056,100.0,1.0,1.0,True,False,True,False,21,1,False,-3.0912232666977077,False,300,step_limit,244,50,158.6,106.0663620000123,C:\Users\matty\Dev\phase-b-recon-v20,2044f50a8cf71874f259e74fd05ec495169b9ae4,False,37432
v20,A,013c5fecee604b67,1835089024,0.056,100.0,1.0,1.0,True,False,True,False,35,1,False,-3.1080019363515734,False,300,step_limit,219,50,142.35,105.95319570001448,C:\Users\matty\Dev\phase-b-recon-v20,2044f50a8cf71874f259e74fd05ec495169b9ae4,False,5444
v20,A,075b6eae8dbfb985,1835089000,0.064,25.0,1.5,1.0,True,False,True,False,144,1,False,-3.0921033188836287,False,300,step_limit,293,50,190.45000000000002,106.20613370003412,C:\Users\matty\Dev\phase-b-recon-v20,2044f50a8cf71874f259e74fd05ec495169b9ae4,False,22896
v20,A,075b6eae8dbfb985,1835089001,0.064,25.0,1.5,1.0,True,False,True,False,134,1,False,-3.1018447056383374,False,300,step_limit,236,50,153.4,108.62171360000502,C:\Users\matty\Dev\phase-b-recon-v20,2044f50a8cf71874f259e74fd05ec495169b9ae4,False,42968
v20,A,075b6eae8dbfb985,1835089002,0.064,25.0,1.5,1.0,True,False,True,False,139,1,False,-3.109865076659906,False,300,step_limit,308,50,200.20000000000002,107.92849170003319,C:\Users\matty\Dev\phase-b-recon-v20,2044f50a8cf71874f259e74fd05ec495169b9ae4,False,47936
