substrate,category,cell,seed,rr,phi,alpha,successor_capability,cop_cost_audit,survived,collapsed,extinct,final_population,final_ai_generation,yield_fired,max_yield_margin,knowledge_transfer_verified,steps_completed,end_reason,peak_population,min_viable_population,survival_threshold,elapsed_seconds,source_path,source_head,non_registered,worker_pid
v20,B,0068ce03c4275f84,1835089100,0.07,25.0,0.75,3.0,True,True,False,False,697,2,True,0.4871743319433195,True,300,step_limit,712,50,462.8,112.36558949999744,C:\Users\matty\Dev\phase-b-recon-v20,2044f50a8cf71874f259e74fd05ec495169b9ae4,False,50148
v20,B,0068ce03c4275f84,1835089101,0.07,25.0,0.75,3.0,True,True,False,False,508,2,True,1.5668143603071054,True,300,step_limit,516,50,335.40000000000003,113.34964989998844,C:\Users\matty\Dev\phase-b-recon-v20,2044f50a8cf71874f259e74fd05ec495169b9ae4,False,38440
v20,B,0068ce03c4275f84,1835089102,0.07,25.0,0.75,3.0,True,True,False,False,631,2,True,0.3974218672905465,True,300,step_limit,631,50,410.15000000000003,110.83694949996425,C:\Users\matty\Dev\phase-b-recon-v20,2044f50a8cf71874f259e74fd05ec495169b9ae4,False,21892
v20,B,0068ce03c4275f84,1835089103,0.07,25.0,0.75,3.0,True,True,False,False,577,2,True,0.4462092949398313,True,300,step_limit,648,50,421.2,111.77257839997765,C:\Users\matty\Dev\phase-b-recon-v20,2044f50a8cf71874f259e74fd05ec495169b9ae4,False,47800
v20,B,0068ce03c4275f84,1835089104,0.07,25.0,0.75,3.0,True,True,False,False,612,2,True,0.16481263162411697,True,300,step_limit,654,50,425.1,113.23916860000463,C:\Users\matty\Dev\phase-b-recon-v20,2044f50a8cf71874f259e74fd05ec495169b9ae4,False,41036
v20,B,0068ce03c4275f84,1835089105,0.07,25.0,0.75,3.0,True,True,False,False,591,2,True,0.7744670437651218,True,300,step_limit,608,50,395.2,117.19635640003253,C:\Users\matty\Dev\phase-b-recon-v20,2044f50a8cf71874f259e74fd05ec495169b9ae4,False,4748
v20,B,0068ce03c4275f84,1835089106,0.07,25.0,0.75,3.0,True,True,False,False,739,2,True,0.2120179811538212,True,300,step_limit,763,50,495.95,115.51173810003093,C:\Users\matty\Dev\phase-b-recon-v20,2044f50a8cf71874f259e74fd05ec495169b9ae4,False,53428
v20,B,0068ce03c4275f84,1835089107,0.07,25.0,0.75,3.0,True,True,False,False,664,2,True,0.2786736853105811,True,300,step_limit,688,50,447.2,116.71981989999767,C:\Users\matty\Dev\phase-b-recon-v20,2044f50a8cf71874f259e74fd05ec495169b9ae4,False,44272
v20,B,0068ce03c4275f84,1835089108,0.07,25.0,0.75,3.0,True,True,False,False,487,2,True,1.909432305824772,True,300,step_limit,522,50,339.3,117.37172850000206,C:\Users\matty\Dev\phase-b-recon-v20,2044f50a8cf71874f259e74fd05ec495169b9ae4,False,9828
v20,B,0068ce03c4275f84,1835089109,0.07,25.0,0.75,3.0,True,True,False,False,502,2,True,0.11630864952966524,True,300,step_limit,502,50,326.3,117.18713000003481,C:\Users\matty\Dev\phase-b-recon-v20,2044f50a8cf71874f259e74fd05ec495169b9ae4,False,40136
v20,B,0068ce03c4275f84,1835089110,0.07,25.0,0.75,3.0,True,True,False,False,646,2,True,0.3238388665085923,True,300,step_limit,654,50,425.1,117.52768649999052,C:\Users\matty\Dev\phase-b-recon-v20,2044f50a8cf71874f259e74fd05ec495169b9ae4,False,51808
v20,B,0068ce03c4275f84,1835089111,0.07,25.0,0.75,3.0,True,True,False,False,651,2,True,0.42499953078934904,True,300,step_limit,651,50,423.15000000000003,116.77651100000367,C:\Users\matty\Dev\phase-b-recon-v20,2044f50a8cf71874f259e74fd05ec495169b9ae4,False,22272
v20,B,0068ce03c4275f84,1835089112,0.07,25.0,0.75,3.0,True,True,False,False,522,2,True,0.4256588737442164,True,300,step_limit,522,50,339.3,111.75167969998438,C:\Users\matty\Dev\phase-b-recon-v20,2044f50a8cf71874f259e74fd05ec495169b9ae4,False,20772
v20,B,0068ce03c4275f84,1835089113,0.07,25.0,0.75,3.0,True,True,False,False,712,2,True,0.6134695218112163,True,300,step_limit,726,50,471.90000000000003,113.13795140001457,C:\Users\matty\Dev\phase-b-recon-v20,2044f50a8cf71874f259e74fd05ec495169b9ae4,False,31980
v20,B,0068ce03c4275f84,1835089114,0.07,25.0,0.75,3.0,True,True,False,False,653,2,True,1.1290182193592644,True,300,step_limit,653,50,424.45,112.83041840000078,C:\Users\matty\Dev\phase-b-recon-v20,2044f50a8cf71874f259e74fd05ec495169b9ae4,False,52200
v20,B,0068ce03c4275f84,1835089115,0.07,25.0,0.75,3.0,True,True,False,False,579,2,True,0.1061681876512166,True,300,step_limit,579,50,376.35,112.53169800003525,C:\Users\matty\Dev\phase-b-recon-v20,2044f50a8cf71874f259e74fd05ec495169b9ae4,False,19232
v20,B,0068ce03c4275f84,1835089116,0.07,25.0,0.75,3.0,True,True,False,False,472,2,True,0.11981300603639955,True,300,step_limit,479,50,311.35,111.45240800001193,C:\Users\matty\Dev\phase-b-recon-v20,2044f50a8cf71874f259e74fd05ec495169b9ae4,False,49100
v20,B,0068ce03c4275f84,1835089117,0.07,25.0,0.75,3.0,True,True,False,False,574,2,True,0.638897248659632,True,300,step_limit,642,50,417.3,109.58728849998442,C:\Users\matty\Dev\phase-b-recon-v20,2044f50a8cf71874f259e74fd05ec495169b9ae4,False,11880
v20,B,0068ce03c4275f84,1835089118,0.07,25.0,0.75,3.0,True,True,False,False,471,2,True,1.577213732304398,True,300,step_limit,471,50,306.15000000000003,110.40739959996426,C:\Users\matty\Dev\phase-b-recon-v20,2044f50a8cf71874f259e74fd05ec495169b9ae4,False,48436
v20,B,0068ce03c4275f84,1835089119,0.07,25.0,0.75,3.0,True,True,False,False,808,2,True,0.8179709635255974,True,300,step_limit,826,50,536.9,110.22262580000097,C:\Users\matty\Dev\phase-b-recon-v20,2044f50a8cf71874f259e74fd05ec495169b9ae4,False,45852
