substrate,category,cell,seed,rr,phi,alpha,successor_capability,cop_cost_audit,survived,collapsed,extinct,final_population,final_ai_generation,yield_fired,max_yield_margin,knowledge_transfer_verified,steps_completed,end_reason,peak_population,min_viable_population,survival_threshold,elapsed_seconds,source_path,source_head,non_registered,worker_pid
v20,phi,222c1f24c31b6817,1835089300,0.057,15.0,1.0,1.0,True,False,True,False,54,1,False,-3.0986265427946016,False,300,step_limit,233,50,151.45000000000002,94.11810599995079,C:\Users\matty\Dev\phase-b-recon-v20,2044f50a8cf71874f259e74fd05ec495169b9ae4,False,51896
v20,phi,222c1f24c31b6817,1835089301,0.057,15.0,1.0,1.0,True,False,True,False,25,1,False,-3.089797182981645,False,300,step_limit,223,50,144.95000000000002,90.33001850004075,C:\Users\matty\Dev\phase-b-recon-v20,2044f50a8cf71874f259e74fd05ec495169b9ae4,False,25880
v20,phi,222c1f24c31b6817,1835089302,0.057,15.0,1.0,1.0,True,False,True,False,13,1,False,-3.109283308861857,False,300,step_limit,196,50,127.4,91.22126259998186,C:\Users\matty\Dev\phase-b-recon-v20,2044f50a8cf71874f259e74fd05ec495169b9ae4,False,45516
v20,phi,222c1f24c31b6817,1835089303,0.057,15.0,1.0,1.0,True,False,True,False,69,1,False,-3.097429926904412,False,300,step_limit,257,50,167.05,91.80245439999271,C:\Users\matty\Dev\phase-b-recon-v20,2044f50a8cf71874f259e74fd05ec495169b9ae4,False,41496
v20,phi,222c1f24c31b6817,1835089304,0.057,15.0,1.0,1.0,True,False,True,False,27,1,False,-3.090980643592061,False,300,step_limit,211,50,137.15,93.87258389999624,C:\Users\matty\Dev\phase-b-recon-v20,2044f50a8cf71874f259e74fd05ec495169b9ae4,False,43656
v20,phi,222c1f24c31b6817,1835089305,0.057,15.0,1.0,1.0,True,False,True,False,40,1,False,-3.0835545329482166,False,300,step_limit,207,50,134.55,90.84741759998724,C:\Users\matty\Dev\phase-b-recon-v20,2044f50a8cf71874f259e74fd05ec495169b9ae4,False,41280
v20,phi,222c1f24c31b6817,1835089306,0.057,15.0,1.0,1.0,True,False,True,False,12,1,False,-3.09507049799941,False,300,step_limit,210,50,136.5,92.85122719994979,C:\Users\matty\Dev\phase-b-recon-v20,2044f50a8cf71874f259e74fd05ec495169b9ae4,False,44712
v20,phi,222c1f24c31b6817,1835089307,0.057,15.0,1.0,1.0,True,False,True,False,29,1,False,-3.096268740929763,False,300,step_limit,244,50,158.6,91.50937500002328,C:\Users\matty\Dev\phase-b-recon-v20,2044f50a8cf71874f259e74fd05ec495169b9ae4,False,8600
v20,phi,222c1f24c31b6817,1835089308,0.057,15.0,1.0,1.0,True,False,True,False,47,1,False,-3.0957549779297455,False,300,step_limit,241,50,156.65,92.02457989996765,C:\Users\matty\Dev\phase-b-recon-v20,2044f50a8cf71874f259e74fd05ec495169b9ae4,False,44112
v20,phi,222c1f24c31b6817,1835089309,0.057,15.0,1.0,1.0,True,False,True,False,10,1,False,-3.0970861353609296,False,300,step_limit,236,50,153.4,91.49178939999547,C:\Users\matty\Dev\phase-b-recon-v20,2044f50a8cf71874f259e74fd05ec495169b9ae4,False,24876
v20,phi,222c1f24c31b6817,1835089310,0.057,15.0,1.0,1.0,True,False,True,False,12,1,False,-3.076622133885568,False,300,step_limit,196,50,127.4,90.29496720002498,C:\Users\matty\Dev\phase-b-recon-v20,2044f50a8cf71874f259e74fd05ec495169b9ae4,False,3760
v20,phi,222c1f24c31b6817,1835089311,0.057,15.0,1.0,1.0,True,False,True,False,19,1,False,-3.0886612053024525,False,300,step_limit,232,50,150.8,90.60982349998085,C:\Users\matty\Dev\phase-b-recon-v20,2044f50a8cf71874f259e74fd05ec495169b9ae4,False,53900
v20,phi,222c1f24c31b6817,1835089312,0.057,15.0,1.0,1.0,True,False,True,False,23,1,False,-3.0949983752888595,False,300,step_limit,210,50,136.5,91.27144159999443,C:\Users\matty\Dev\phase-b-recon-v20,2044f50a8cf71874f259e74fd05ec495169b9ae4,False,9296
v20,phi,222c1f24c31b6817,1835089313,0.057,15.0,1.0,1.0,True,False,False,True,0,1,False,-3.1046209244341236,False,299,step_returned_false,209,50,135.85,90.74828080000589,C:\Users\matty\Dev\phase-b-recon-v20,2044f50a8cf71874f259e74fd05ec495169b9ae4,False,44436
v20,phi,222c1f24c31b6817,1835089314,0.057,15.0,1.0,1.0,True,False,True,False,1,1,False,-3.104427155411128,False,300,step_limit,219,50,142.35,92.22654250002233,C:\Users\matty\Dev\phase-b-recon-v20,2044f50a8cf71874f259e74fd05ec495169b9ae4,False,47304
v20,phi,222c1f24c31b6817,1835089315,0.057,15.0,1.0,1.0,True,False,True,False,13,1,False,-3.1127941175916436,False,300,step_limit,209,50,135.85,91.49789749999763,C:\Users\matty\Dev\phase-b-recon-v20,2044f50a8cf71874f259e74fd05ec495169b9ae4,False,46592
v20,phi,222c1f24c31b6817,1835089316,0.057,15.0,1.0,1.0,True,False,True,False,33,1,False,-3.104548346051353,False,300,step_limit,250,50,162.5,92.19645149999997,C:\Users\matty\Dev\phase-b-recon-v20,2044f50a8cf71874f259e74fd05ec495169b9ae4,False,45060
v20,phi,222c1f24c31b6817,1835089317,0.057,15.0,1.0,1.0,True,False,True,False,25,1,False,-3.1096729067398408,False,300,step_limit,215,50,139.75,91.62816600000951,C:\Users\matty\Dev\phase-b-recon-v20,2044f50a8cf71874f259e74fd05ec495169b9ae4,False,52844
v20,phi,222c1f24c31b6817,1835089318,0.057,15.0,1.0,1.0,True,False,True,False,24,1,False,-3.0903697378546697,False,300,step_limit,225,50,146.25,92.47692080005072,C:\Users\matty\Dev\phase-b-recon-v20,2044f50a8cf71874f259e74fd05ec495169b9ae4,False,41856
v20,phi,222c1f24c31b6817,1835089319,0.057,15.0,1.0,1.0,True,False,True,False,28,1,False,-3.100478920150248,False,300,step_limit,215,50,139.75,91.54756650002673,C:\Users\matty\Dev\phase-b-recon-v20,2044f50a8cf71874f259e74fd05ec495169b9ae4,False,43744
v20,phi,222c1f24c31b6817,1835089320,0.057,15.0,1.0,1.0,True,False,True,False,33,1,False,-3.0947441502691713,False,300,step_limit,236,50,153.4,92.42111300001852,C:\Users\matty\Dev\phase-b-recon-v20,2044f50a8cf71874f259e74fd05ec495169b9ae4,False,50580
