substrate,category,cell,seed,rr,phi,alpha,successor_capability,cop_cost_audit,survived,collapsed,extinct,final_population,final_ai_generation,yield_fired,max_yield_margin,knowledge_transfer_verified,steps_completed,end_reason,peak_population,min_viable_population,survival_threshold,elapsed_seconds,source_path,source_head,non_registered,worker_pid
v20,B,1b86f39af78a26c2,1835089100,0.06,25.0,0.5,1.5,True,False,True,False,38,3,True,0.5479993937064265,True,300,step_limit,236,50,153.4,93.15916360000847,C:\Users\matty\Dev\phase-b-recon-v20,2044f50a8cf71874f259e74fd05ec495169b9ae4,True,54024
v20,B,1b86f39af78a26c2,1835089101,0.06,25.0,0.5,1.5,True,False,True,False,28,3,True,1.3574728542639747,True,300,step_limit,257,50,167.05,94.31358080002246,C:\Users\matty\Dev\phase-b-recon-v20,2044f50a8cf71874f259e74fd05ec495169b9ae4,True,41040
v20,B,601f616c65e51cb1,1835089100,0.06,25.0,1.5,5.0,True,False,True,False,55,1,False,-4.648643410411034,False,300,step_limit,257,50,167.05,92.86196159996325,C:\Users\matty\Dev\phase-b-recon-v20,2044f50a8cf71874f259e74fd05ec495169b9ae4,True,53496
v20,B,601f616c65e51cb1,1835089101,0.06,25.0,1.5,5.0,True,False,True,False,57,1,False,-4.650837055042149,False,300,step_limit,278,50,180.70000000000002,93.44542370003182,C:\Users\matty\Dev\phase-b-recon-v20,2044f50a8cf71874f259e74fd05ec495169b9ae4,True,20500
v20,B,b34432c7c080923f,1835089100,0.06,25.0,0.5,5.0,True,False,True,False,130,2,True,1.4598167695328872,True,300,step_limit,257,50,167.05,94.63689329999033,C:\Users\matty\Dev\phase-b-recon-v20,2044f50a8cf71874f259e74fd05ec495169b9ae4,True,34496
v20,B,b34432c7c080923f,1835089101,0.06,25.0,0.5,5.0,True,False,True,False,72,2,True,0.37824047726777854,True,300,step_limit,259,50,168.35,93.10179040004732,C:\Users\matty\Dev\phase-b-recon-v20,2044f50a8cf71874f259e74fd05ec495169b9ae4,True,53504
v20,B,c5a77cd9d8b3ca87,1835089100,0.06,25.0,1.5,1.5,True,False,True,False,133,2,True,1.2171587024214245,True,300,step_limit,236,50,153.4,92.84014559997013,C:\Users\matty\Dev\phase-b-recon-v20,2044f50a8cf71874f259e74fd05ec495169b9ae4,True,53672
v20,B,c5a77cd9d8b3ca87,1835089101,0.06,25.0,1.5,1.5,True,False,True,False,21,2,True,0.23698748745794918,True,300,step_limit,257,50,167.05,92.51368700002786,C:\Users\matty\Dev\phase-b-recon-v20,2044f50a8cf71874f259e74fd05ec495169b9ae4,True,52444
v21,B,1b86f39af78a26c2,1835089100,0.06,25.0,0.5,1.5,True,False,True,False,93,3,True,1.4272616206549942,True,300,step_limit,262,50,170.3,112.75102009996772,C:\Users\matty\Dev\AI-Succession-Problem,1a5fa6505fa079906b2df2a97e1f965b3e0f8713,True,14984
v21,B,1b86f39af78a26c2,1835089101,0.06,25.0,0.5,1.5,True,False,True,False,138,3,True,0.3194417873400326,True,300,step_limit,258,50,167.70000000000002,112.3540261000162,C:\Users\matty\Dev\AI-Succession-Problem,1a5fa6505fa079906b2df2a97e1f965b3e0f8713,True,7192
v21,B,601f616c65e51cb1,1835089100,0.06,25.0,1.5,5.0,True,False,True,False,35,1,False,-4.648647900824579,False,300,step_limit,272,50,176.8,112.29548390000127,C:\Users\matty\Dev\AI-Succession-Problem,1a5fa6505fa079906b2df2a97e1f965b3e0f8713,True,47552
v21,B,601f616c65e51cb1,1835089101,0.06,25.0,1.5,5.0,True,False,True,False,104,1,False,-4.650837055042149,False,300,step_limit,266,50,172.9,113.11442369996803,C:\Users\matty\Dev\AI-Succession-Problem,1a5fa6505fa079906b2df2a97e1f965b3e0f8713,True,44600
v21,B,b34432c7c080923f,1835089100,0.06,25.0,0.5,5.0,True,False,True,False,70,2,True,0.35093794355463936,True,300,step_limit,268,50,174.20000000000002,111.6703880999703,C:\Users\matty\Dev\AI-Succession-Problem,1a5fa6505fa079906b2df2a97e1f965b3e0f8713,True,43808
v21,B,b34432c7c080923f,1835089101,0.06,25.0,0.5,5.0,True,True,False,False,188,2,True,0.7827528226370912,True,300,step_limit,274,50,178.1,112.6116271999781,C:\Users\matty\Dev\AI-Succession-Problem,1a5fa6505fa079906b2df2a97e1f965b3e0f8713,True,44980
v21,B,c5a77cd9d8b3ca87,1835089100,0.06,25.0,1.5,1.5,True,False,True,False,85,2,True,2.2282027727376277,True,300,step_limit,262,50,170.3,113.70514620002359,C:\Users\matty\Dev\AI-Succession-Problem,1a5fa6505fa079906b2df2a97e1f965b3e0f8713,True,8620
v21,B,c5a77cd9d8b3ca87,1835089101,0.06,25.0,1.5,1.5,True,False,True,False,144,2,True,1.3687447451481063,True,300,step_limit,258,50,167.70000000000002,112.67560429999139,C:\Users\matty\Dev\AI-Succession-Problem,1a5fa6505fa079906b2df2a97e1f965b3e0f8713,True,3952
