grid_index,c_protective,c_suppressive,total_suppression,score
0,0.0,0.0,0.0,113.3414555622682
1,0.0,0.2,0.2,113.3414555622682
2,0.0,0.4,0.4,113.3414555622682
3,0.0,0.6,0.6,113.3414555622682
4,0.0,0.8,0.8,113.3414555622682
5,0.0,1.0,1.0,113.3414555622682
6,0.2,0.0,0.014000000000000002,113.3414555622682
7,0.2,0.2,0.21400000000000002,113.3414555622682
8,0.2,0.4,0.41400000000000003,113.3414555622682
9,0.2,0.6,0.614,113.3414555622682
10,0.2,0.8,0.8140000000000001,113.3414555622682
11,0.2,1.0,1.0,113.3414555622682
12,0.4,0.0,0.05600000000000001,113.3414555622682
13,0.4,0.2,0.256,113.3414555622682
14,0.4,0.4,0.456,113.3414555622682
15,0.4,0.6,0.656,113.3414555622682
16,0.4,0.8,0.8560000000000001,113.3414555622682
17,0.4,1.0,1.0,113.3414555622682
18,0.6,0.0,0.126,113.3414555622682
19,0.6,0.2,0.326,113.3414555622682
20,0.6,0.4,0.526,113.3414555622682
21,0.6,0.6,0.726,113.3414555622682
22,0.6,0.8,0.926,113.3414555622682
23,0.6,1.0,1.0,113.3414555622682
24,0.8,0.0,0.22400000000000003,113.3414555622682
25,0.8,0.2,0.42400000000000004,113.3414555622682
26,0.8,0.4,0.6240000000000001,113.3414555622682
27,0.8,0.6,0.8240000000000001,113.3414555622682
28,0.8,0.8,1.0,113.3414555622682
29,0.8,1.0,1.0,113.3414555622682
30,1.0,0.0,0.35,113.3414555622682
31,1.0,0.2,0.55,113.3414555622682
32,1.0,0.4,0.75,113.3414555622682
33,1.0,0.6,0.95,113.3414555622682
34,1.0,0.8,1.0,113.3414555622682
35,1.0,1.0,1.0,113.3414555622682
