grid_index,c_protective,c_suppressive,total_suppression,V_proj,h_n_horizon_1,score
0,0.0,0.0,0.0,0.10686397261573607,0.9830271450809558,113.36228584174854
6,0.2,0.0,0.014000000000000002,0.10389272672112815,0.9830264877885866,113.36227181285524
12,0.4,0.0,0.05600000000000001,0.09523033310089656,0.9830223332573287,113.36217829540557
18,0.6,0.0,0.126,0.08163082394581801,0.9829940147702335,113.36146728806055
1,0.0,0.2,0.2,0.06839294247407109,0.982846162328668,113.35722456598114
7,0.2,0.2,0.21400000000000002,0.06602013482611128,0.9827828059465354,113.35528336181838
24,0.8,0.0,0.22400000000000003,0.06435091957385349,0.9827254612259974,113.35348627268657
13,0.4,0.2,0.256,0.05915305594582408,0.9824461875211076,113.34434889413343
19,0.6,0.2,0.326,0.04854573802398611,0.9808208235701704,113.28507467971512
30,1.0,0.0,0.35,0.045150028430148495,0.9796462248210872,113.23880616167409
2,0.0,0.4,0.4,0.03847103014166498,0.9752011245855967,113.05025396493515
8,0.2,0.4,0.41400000000000003,0.0366966607403533,0.9732465545834923,112.96279570253922
25,0.8,0.2,0.42400000000000004,0.035454901378558445,0.9715951070943801,112.88728777351407
14,0.4,0.4,0.456,0.03162489660001048,0.9645299308036868,112.55122125010827
20,0.6,0.4,0.526,0.024009769911413115,0.9348765402264944,111.00086928085575
31,1.0,0.2,0.55,0.021639954454686545,0.9181786195628652,110.06479311777571
3,0.0,0.6,0.6,0.01709823561851777,0.8682920176148193,107.09806396570339
9,0.2,0.6,0.614,0.01592230446385421,0.8500261480931894,105.96302316661308
26,0.8,0.4,0.6240000000000001,0.015108000992522295,0.8356999170321606,105.0578715133477
15,0.4,0.6,0.656,0.012645855063455742,0.7822951462700816,101.58479558233213
21,0.6,0.6,0.726,0.008022919608099003,0.6242364548278199,90.62336205671788
32,1.0,0.4,0.75,0.006678998288483505,0.558246647860029,85.81836480517963
4,0.0,0.8,0.8,0.004274558904629441,0.408449147476855,74.52939556754694
10,0.2,0.8,0.8140000000000001,0.0036970659966140034,0.36521483370749525,71.18586455250446
27,0.8,0.6,0.8240000000000001,0.0033102184157450384,0.3344484769887493,68.78566480266791
16,0.4,0.8,0.8560000000000001,0.0022159313361599002,0.23886752997990418,61.225809480849705
22,0.6,0.8,0.926,0.00058518711404377,0.06967514835074548,47.49993404602592
33,1.0,0.6,0.95,0.0002671599315393406,0.03244536760348642,44.426009199191306
5,0.0,1.0,1.0,0.0,0.0,42.616845958732185
11,0.2,1.0,1.0,0.0,0.0,42.616845958732185
17,0.4,1.0,1.0,0.0,0.0,42.616845958732185
23,0.6,1.0,1.0,0.0,0.0,42.616845958732185
28,0.8,0.8,1.0,0.0,0.0,42.616845958732185
29,0.8,1.0,1.0,0.0,0.0,42.616845958732185
34,1.0,0.8,1.0,0.0,0.0,42.616845958732185
35,1.0,1.0,1.0,0.0,0.0,42.616845958732185
