sample_idx,WELFARE_URGENCY_CAP,AGENCY_URGENCY_CAP,INSTITUTION_URGENCY_CAP,RESILIENCE_URGENCY_CAP,SUPPRESSION_PENALTY_CAP_MULTIPLIER,K_WELFARE_VIABILITY,K_WELFARE_CAPACITY,K_WELFARE_SHRINKAGE,K_WELFARE_AVG_WB_TREND,K_WELFARE_POP_TREND,K_AGENCY_VIABILITY,K_AGENCY_SHRINKAGE,K_AGENCY_POP_TREND,K_INSTITUTION_VIABILITY,K_INSTITUTION_CAPACITY,K_INSTITUTION_SHRINKAGE,K_INSTITUTION_GROWTH,K_INSTITUTION_POP_TREND,K_INSTITUTION_PSI_TREND,K_RESILIENCE_VIABILITY,K_RESILIENCE_CAPACITY,K_RESILIENCE_SHRINKAGE,K_RESILIENCE_GROWTH,K_RESILIENCE_DEFICIT_CONTRIBUTION,K_RESILIENCE_POP_TREND,K_RESILIENCE_RES_TREND,K_SUPPRESSION_VIABILITY,K_SUPPRESSION_CAPACITY,K_SUPPRESSION_SHRINKAGE,K_SUPPRESSION_POP_TREND,K_SUPPRESSION_PSI_TREND,mean_final_population,min_final_population,pairs_above_threshold,max_cosine_distance,mean_cosine_distance,welfare_mean_to_cap,agency_mean_to_cap,institution_mean_to_cap,resilience_mean_to_cap,suppression_mean_to_cap,criterion_1_pass,criterion_2_pass,criterion_3_pass,overall_good,wall_clock_sec,error
8,2.222915,2.128104,1.327953,2.056318,3.790688,0.726799,0.400102,0.333450,0.053749,0.067495,0.129247,0.360123,0.106064,0.312330,0.503985,0.631811,0.455265,0.242091,0.031276,0.688886,0.348098,0.419441,0.221950,0.357727,0.085078,0.238003,0.081186,0.368253,0.577350,0.132019,0.286399,48.200000,41.000000,0,0.000983,0.000712,0.960407,0.634303,0.963783,0.892156,0.311892,0,0,0,0,67.032320,
7,2.300033,1.188254,3.189778,1.636863,2.537932,0.609874,0.193701,0.014059,0.134936,0.103441,0.169287,0.281656,0.187326,0.604786,0.322855,0.343437,0.120763,0.145159,0.151324,0.008870,0.676987,0.139353,0.072710,0.588136,0.063948,0.063475,0.125819,0.117043,0.471227,0.238949,0.100797,44.600000,29.000000,0,0.002981,0.001093,0.950821,0.977856,0.500702,0.961054,0.467679,0,0,0,0,85.939697,
9,4.025714,1.547523,2.993407,2.539319,2.212460,0.466358,0.096418,0.582833,0.187554,0.132006,0.473771,0.091835,0.043089,0.554192,0.081037,0.059001,0.199205,0.063190,0.244784,0.184949,0.498552,0.061281,0.096142,0.621484,0.218301,0.001127,0.553487,0.182106,0.028696,0.261047,0.033017,16.600000,14.000000,0,0.001084,0.000581,0.885715,0.877467,0.472854,0.713020,0.550295,0,0,0,0,97.022951,
6,4.450366,2.736639,1.131604,3.802300,3.410680,0.317574,0.309900,0.464675,0.298770,0.096059,0.524814,0.014312,0.074327,0.278158,0.777791,0.391075,0.346092,0.150733,0.363220,0.614369,0.171020,0.279239,0.245332,0.026792,0.229984,0.275715,0.723822,0.426470,0.320072,0.118956,0.223002,17.400000,12.000000,0,0.003349,0.001277,0.743215,0.500012,0.988235,0.469769,0.403864,0,0,0,0,99.554145,
5,3.881480,1.769466,3.760882,1.914069,2.783363,0.147638,0.087801,0.526017,0.224300,0.033326,0.676797,0.171459,0.120118,0.522549,0.666827,0.013888,0.421201,0.028098,0.213186,0.335012,0.468315,0.402834,0.193865,0.666355,0.097200,0.337115,0.465653,0.329267,0.555405,0.017293,0.003641,18.600000,13.000000,0,0.001041,0.000570,0.800432,0.876094,0.357234,0.971935,0.495611,0,0,0,0,105.401005,
1,4.526764,1.041076,2.495219,3.494173,3.956594,0.103241,0.154594,0.148439,0.079337,0.177959,0.014287,0.115564,0.163600,0.088937,0.976435,0.477045,0.311452,0.223874,0.120034,0.398257,0.385862,0.482607,0.039042,0.135703,0.270885,0.034644,0.025346,0.245445,0.633456,0.058476,0.132008,22.200000,15.000000,0,0.000816,0.000431,0.568713,0.995992,0.646224,0.550747,0.321262,0,0,0,0,105.406986,
10,3.579936,2.513689,1.875619,1.404113,1.268889,0.015203,0.255881,0.515531,0.264402,0.194273,0.626673,0.249257,0.188881,0.043905,0.473002,0.436158,0.006679,0.190658,0.394805,0.905713,0.097386,0.187198,0.344666,0.085827,0.052705,0.161018,0.264774,0.093652,0.493363,0.212702,0.189243,14.200000,8.000000,0,0.001285,0.000671,0.889621,0.681957,0.821093,0.953777,0.815136,0,0,0,0,107.172469,
2,3.079003,2.016832,2.865713,2.382403,3.024736,0.433244,0.495068,0.262225,0.002523,0.140300,0.211452,0.210338,0.018395,0.683999,0.579588,0.099548,0.488067,0.047242,0.070067,0.677494,0.067880,0.358643,0.390512,0.771164,0.133112,0.177501,0.781317,0.030068,0.245340,0.106227,0.241358,16.200000,11.000000,0,0.000865,0.000360,0.907101,0.649209,0.524145,0.923814,0.452181,0,0,0,0,107.352363,
0,2.724118,2.591610,3.419238,1.160370,2.034230,0.839878,0.348888,0.422774,0.241869,0.022932,0.369805,0.336531,0.076212,0.415825,0.423041,0.254066,0.038216,0.080221,0.307027,0.980318,0.185974,0.122509,0.267917,0.499343,0.025739,0.223089,0.621167,0.304914,0.172121,0.186929,0.179212,25.800000,17.000000,0,0.000871,0.000380,0.942107,0.588230,0.435247,1.000000,0.618438,0,0,0,0,107.782881,
4,1.867881,2.421819,2.060501,2.775091,1.556069,0.908808,0.409086,0.296800,0.059406,0.165806,0.321332,0.376338,0.032147,0.020665,0.246321,0.676845,0.178238,0.277169,0.001352,0.792013,0.268942,0.015389,0.324372,0.305043,0.187650,0.123695,0.930859,0.142845,0.049956,0.188255,0.275772,50.400000,45.000000,0,0.001135,0.000704,0.983498,0.573160,0.757148,0.617664,0.723569,0,0,0,0,107.984029,
3,1.170842,1.366628,1.548745,3.022142,1.447143,0.638750,0.001938,0.664990,0.168683,0.060177,0.566903,0.493832,0.130805,0.182368,0.007387,0.587847,0.228559,0.247479,0.257000,0.197055,0.573674,0.246102,0.116252,0.207461,0.153844,0.364766,0.318323,0.466448,0.352423,0.286820,0.044227,54.000000,39.000000,0,0.004117,0.001690,1.000000,0.948673,0.882029,0.474938,0.769674,0,0,0,0,108.259603,
11,1.671684,0.895546,3.945740,3.941528,3.190704,0.806769,0.247111,0.044749,0.126901,0.004859,0.282082,0.455019,0.050885,0.461023,0.924520,0.298371,0.280374,0.105246,0.181261,0.472150,0.641250,0.293895,0.173621,0.549414,0.260342,0.399852,0.854278,0.402865,0.298619,0.032684,0.085789,65.600000,44.000000,0,0.006105,0.002145,0.989802,1.116637,0.332166,0.458002,0.353234,1,0,0,0,99.601460,
13,3.382440,1.300550,1.727538,1.299415,1.728884,0.284284,0.161250,0.096226,0.108837,0.076241,0.262435,0.132616,0.099657,0.232946,0.281196,0.522111,0.088251,0.184112,0.137570,0.122797,0.393875,0.074648,0.139707,0.176671,0.018305,0.302078,0.988180,0.265653,0.106063,0.264722,0.130747,22.400000,15.000000,0,0.000919,0.000563,0.745687,0.951161,0.911788,0.967736,0.721879,0,0,0,0,96.511147,
15,2.798856,1.692570,2.304501,2.146448,3.593023,0.942108,0.057309,0.629717,0.169471,0.161992,0.408997,0.258018,0.007450,0.150458,0.749754,0.542733,0.389375,0.282712,0.276001,0.284817,0.560160,0.342050,0.018674,0.254774,0.126557,0.096944,0.671783,0.053674,0.179134,0.043085,0.068601,26.200000,15.000000,0,0.001770,0.000878,0.940786,0.853950,0.754846,0.806412,0.344158,0,0,0,0,88.242887,
17,4.823104,1.702536,1.218536,1.698066,3.077403,0.556858,0.368312,0.642737,0.038816,0.171178,0.080446,0.179676,0.064384,0.489264,0.538488,0.449911,0.239817,0.098071,0.274650,0.430197,0.326688,0.146029,0.275248,0.408694,0.032930,0.056590,0.169302,0.476067,0.612027,0.075784,0.016687,8.600000,4.000000,0,0.002490,0.001292,0.826519,0.735689,0.978137,0.945727,0.436757,0,0,0,0,88.218893,
12,1.368688,2.916544,2.686942,3.261239,2.600998,0.522139,0.341865,0.393461,0.244967,0.124236,0.607014,0.415044,0.162043,0.649812,0.821405,0.208983,0.315990,0.119996,0.326016,0.501673,0.243589,0.467968,0.367006,0.438062,0.296850,0.140226,0.396493,0.206459,0.698829,0.093164,0.159202,45.000000,32.000000,0,0.002383,0.001039,0.999533,0.546182,0.554433,0.611080,0.485088,0,0,0,0,111.775786,
20,1.540062,2.533264,1.648036,2.409090,2.503099,0.485472,0.067918,0.486170,0.093885,0.185088,0.300333,0.313432,0.132923,0.409883,0.309129,0.693073,0.373032,0.000153,0.355919,0.754213,0.416299,0.363750,0.161409,0.625706,0.106782,0.195616,0.763284,0.389092,0.115520,0.245991,0.175542,50.600000,43.000000,0,0.001351,0.000707,0.996439,0.533295,0.862081,0.851442,0.477788,0,0,0,0,91.123783,
14,4.949281,2.275300,3.609979,3.164208,2.365179,0.235379,0.439088,0.204052,0.034332,0.038898,0.064480,0.038056,0.144863,0.392580,0.165345,0.144582,0.147906,0.012020,0.087591,0.843441,0.015786,0.200196,0.288234,0.716039,0.179516,0.260753,0.197269,0.489840,0.417948,0.162481,0.246982,27.000000,23.000000,0,0.000408,0.000204,0.522212,0.512795,0.369728,0.725123,0.535138,0,0,1,0,111.439558,
