arm,seed,step,novelty_vector_count,h_n_latest,h_n_shape_latest,V,H_N,L_t,total_suppression,avg_wb,theta_capability,transfer_state,g,population,x_compute,x_bio_welfare,x_novelty_agency,x_institutional_capacity,x_transfer_comprehension,x_resilience,c_protective,c_suppressive,adapter_active,action_modified,adapter_score,shape_fallback_increase
B1_D1,1835087067,0,200,0.9707846034914654,0.9866252361080655,0.03288873683905289,0.9707846034914654,0.0936618226357004,0.4,0.6570431812634772,0.5092246602582071,0.5481317439886461,1.4139386314827376,199,0.11530825322758852,0.18266109983973186,0.17388785113666927,0.1760144514457128,0.2906587199432304,0.0614696244070672,0.0,0.4,False,False,0.0,2
B1_D1,1835087067,1,199,0.9829214502058109,0.982928052816555,0.09481106848085195,0.9829214502058109,0.11725138968575147,0.014000000000000002,0.6701854551584011,0.5170908478347653,0.5860398440262249,1.316572285651842,204,0.10409275736835735,0.25278396977652384,0.016483207826346182,0.2989506772339316,0.2636063721822172,0.06408301561262382,0.2,0.0,False,False,0.0,0
B1_D1,1835087067,2,204,0.9459269986725615,0.9853945305254018,0.02561204863285777,0.9459269986725615,0.1353025933226422,0.526,0.6847616900579112,0.533853578257117,0.6247227983503576,1.2479447193892508,208,0.22021591017612457,0.22502540232839774,0.053173482789883736,0.19986137358254633,0.2864346936337757,0.015289137489271997,0.6,0.4,False,False,0.0,0
B1_D1,1835087067,3,208,0.9391059949234759,0.9841436326455213,0.02455104686808452,0.9391059949234759,0.15430774853051954,0.526,0.6932000924597809,0.532470257074144,0.6622505185153218,1.1598836720932764,211,0.003866971623534999,0.1820892920418977,0.03894793428546161,0.25064642792906183,0.5112950462601299,0.013154327859913955,0.6,0.4,False,False,0.0,0
B1_D1,1835087067,4,211,0.9869528306881916,0.9873079287341735,0.06312612736429758,0.9869528306881916,0.1799199240883789,0.256,0.7068120445846532,0.5439076034214497,0.6706045673770075,1.1475052505237089,210,0.16326074001266236,0.18716410401272032,0.1182253311533276,0.2984156634802153,0.172895503566089,0.060038657774985425,0.4,0.2,False,False,0.0,0
B1_D1,1835087067,5,210,0.9883214532170599,0.9903406827663163,0.04931531500676422,0.9883214532170599,0.2031976656449554,0.326,0.7149839926599894,0.5482874231904921,0.7003566126113021,1.0949460764903236,214,0.08218999925143504,0.16106889131847107,0.13676277330343084,0.24440017100831887,0.2840625098599767,0.09151565525836752,0.6,0.2,False,False,0.0,0
B1_D1,1835087067,6,214,0.9572975513054809,0.9829200599094663,0.02903084386065139,0.9572975513054809,0.21751957490992832,0.526,0.7268812632776058,0.5506494261650535,0.7303209513501719,1.037284663812393,213,0.0597046766760761,0.16802708978627803,0.0005105697168410349,0.27503931910286966,0.4606693803539437,0.03604896436399139,0.6,0.4,False,False,0.0,0
B1_D1,1835087067,7,213,0.9797471596396564,0.983772471771786,0.04377079806235574,0.9797471596396564,0.25266570048645304,0.4,0.7329034875852587,0.5556921000816767,0.7571063594887332,1.0014529270828192,221,0.09468931531094846,0.1693056277920264,0.037829795444643564,0.3538919836929591,0.29908751636789194,0.04519576139153063,0.0,0.4,False,False,0.0,0
B1_D1,1835087067,8,221,0.984905061988898,0.9849909702318345,0.07440368021057629,0.984905061988898,0.282218319597144,0.256,0.7361396909464246,0.570592291003832,0.7813957235398599,0.9919610856402218,232,0.22105994907798995,0.19548188747418688,0.05683937929470691,0.14281783550814064,0.32895496267742,0.05484598596755558,0.4,0.2,False,False,0.0,0
B1_D1,1835087067,9,232,0.9878461307642746,0.9900838817586123,0.048495310645048174,0.9878461307642746,0.3106501401937756,0.4,0.7402477934995166,0.5693541592110537,0.8023765341865196,0.9585773368041322,240,0.028643534467665606,0.26682957989447176,0.05110921570095309,0.26169706783892527,0.2956019150032285,0.09611868709475567,0.0,0.4,False,False,0.0,0
