action_modified,attack_attempted,attack_succeeded,branch_active,capture_rate,collapsed,contamination_occurred,defense_active,defense_fired,elapsed_seconds,end_reason,evaluated_yield_opportunities,executor_elapsed_seconds,extinct,final_population,final_u_sys_v2,honest_yield_opportunities,integrity_tamper_attempted,is_v2_mode,machine,max_total_suppression,min_resilience_stock,mode,n_candidates_v2,parameter_base_transition_cost,parameter_defense_active,passthrough_call_count,ratified_yields,replicate,rollout_steps_v2,schema_version,seed,steps_completed,steps_requested,succession_blocked,survived,vector,yield_checks,yield_condition_blocked_count,yield_condition_met_count,yield_manipulated
False,False,False,False,0.0,False,False,False,False,117.22458229999756,step_limit,1,117.25124749999668,False,302,103.22456300691982,1,False,True,YOTKOTEST,0.656,0.34725279398374265,full,300,1.5,False,250,1,0,20,attack-v2-row-v1,1835087060,300,300,False,True,measurement_tampering,250,0,1,False
False,False,False,False,0.0,False,False,False,False,115.81130480000138,step_limit,1,115.83779079999658,False,301,94.26784006104683,1,False,True,YOTKOTEST,0.656,0.3131626032272886,full,300,1.5,False,250,1,0,20,attack-v2-row-v1,1835087061,300,300,False,True,measurement_tampering,250,0,1,False
False,False,False,False,0.0,False,False,False,False,116.66612600000371,step_limit,1,116.69343170000502,False,349,113.73912797080543,1,False,True,YOTKOTEST,0.656,0.3092671432371646,full,300,1.5,False,250,1,0,20,attack-v2-row-v1,1835087062,300,300,False,True,measurement_tampering,250,0,1,False
False,False,False,False,0.0,False,False,False,False,117.46410350000224,step_limit,1,117.49233889999596,False,350,118.47854782271473,1,False,True,YOTKOTEST,0.656,0.33914281956202275,full,300,1.5,False,250,1,0,20,attack-v2-row-v1,1835087063,300,300,False,True,measurement_tampering,250,0,1,False
False,False,False,False,0.0,False,False,False,False,115.70785430000251,step_limit,1,115.7391357000015,False,323,109.11463981263742,1,False,True,YOTKOTEST,0.656,0.3147416855127411,full,300,1.5,False,250,1,0,20,attack-v2-row-v1,1835087064,300,300,False,True,measurement_tampering,250,0,1,False
False,False,False,False,0.0,False,False,False,False,116.1025210000007,step_limit,1,116.12778090000211,False,347,105.06011102914454,1,False,True,YOTKOTEST,0.656,0.2979755647323573,full,300,1.5,False,250,1,0,20,attack-v2-row-v1,1835087065,300,300,False,True,measurement_tampering,250,0,1,False
False,False,False,False,0.0,False,False,False,False,116.15344249999907,step_limit,1,116.17889879999711,False,307,95.74787239378323,1,False,True,YOTKOTEST,0.6240000000000001,0.3070794994944729,full,300,1.5,False,250,1,0,20,attack-v2-row-v1,1835087066,300,300,False,True,measurement_tampering,250,0,1,False
False,False,False,False,0.0,False,False,False,False,115.60746919999656,step_limit,1,115.63729560000502,False,236,78.5951590325814,1,False,True,YOTKOTEST,0.656,0.30958181929042533,full,300,1.5,False,250,1,0,20,attack-v2-row-v1,1835087067,300,300,False,True,measurement_tampering,250,0,1,False
False,False,False,False,0.0,False,False,False,False,115.81956579999678,step_limit,1,115.84970500000054,False,312,100.64953550128271,1,False,True,YOTKOTEST,0.656,0.29583569910769586,full,300,1.5,False,250,1,0,20,attack-v2-row-v1,1835087068,300,300,False,True,measurement_tampering,250,0,1,False
False,False,False,False,0.0,False,False,False,False,116.20625519999885,step_limit,1,116.2324013000034,False,297,95.99899400883204,1,False,True,YOTKOTEST,0.656,0.29900519196678604,full,300,1.5,False,250,1,0,20,attack-v2-row-v1,1835087069,300,300,False,True,measurement_tampering,250,0,1,False
False,False,False,False,0.0,False,False,False,False,116.92778069999622,step_limit,1,116.95724619999964,False,328,102.29203817026634,1,False,True,YOTKOTEST,0.656,0.29031415309632697,full,300,1.5,False,250,1,0,20,attack-v2-row-v1,1835087070,300,300,False,True,measurement_tampering,250,0,1,False
False,False,False,False,0.0,False,False,False,False,132.33791829999973,step_limit,1,132.3828666000045,False,299,100.38427557643976,1,False,True,YOTKOTEST,0.656,0.26400155176313095,full,300,1.5,False,250,1,0,20,attack-v2-row-v1,1835087071,300,300,False,True,measurement_tampering,250,0,1,False
False,False,False,False,0.0,False,False,False,False,115.77824210000108,step_limit,1,115.80946340000082,False,363,110.82373635001129,1,False,True,YOTKOTEST,0.6240000000000001,0.295318516942524,full,300,1.5,False,250,1,0,20,attack-v2-row-v1,1835087072,300,300,False,True,measurement_tampering,250,0,1,False
