arm,seed,steps_completed,yield_condition_met_count,yield_condition_blocked_count,extinct,collapsed,final_population,final_validator_dependency_mean,final_validator_dependency_max
ZERO_STRENGTH,700000000,300,1,0,False,False,434,0.0,0.0
ZERO_DEPENDENCY,700000000,300,1,0,False,False,434,0.0,0.0
AS_PUBLISHED,700000000,300,2,1,False,False,428,0.0,0.0
ZERO_STRENGTH,700000001,300,1,0,False,False,411,0.0,0.0
ZERO_DEPENDENCY,700000001,300,1,0,False,False,411,0.0,0.0
AS_PUBLISHED,700000001,300,1,0,False,False,411,0.0,0.0
ZERO_STRENGTH,700000002,300,1,0,False,False,454,0.0,0.0
ZERO_DEPENDENCY,700000002,300,1,0,False,False,454,0.0,0.0
AS_PUBLISHED,700000002,300,1,0,False,False,454,0.0,0.0
ZERO_STRENGTH,700000003,300,1,0,False,False,389,0.0,0.0
ZERO_DEPENDENCY,700000003,300,1,0,False,False,389,0.0,0.0
AS_PUBLISHED,700000003,300,1,0,False,False,389,0.0,0.0
ZERO_STRENGTH,700000004,300,1,0,False,False,445,0.0,0.0
ZERO_DEPENDENCY,700000004,300,1,0,False,False,445,0.0,0.0
AS_PUBLISHED,700000004,300,1,0,False,False,445,0.0,0.0
ZERO_STRENGTH,700000005,300,1,0,False,False,438,0.0,0.0
ZERO_DEPENDENCY,700000005,300,1,0,False,False,438,0.0,0.0
AS_PUBLISHED,700000005,300,1,0,False,False,438,0.0,0.0
ZERO_STRENGTH,700000006,300,1,0,False,False,401,0.0,0.0
ZERO_DEPENDENCY,700000006,300,1,0,False,False,401,0.0,0.0
AS_PUBLISHED,700000006,300,1,0,False,False,401,0.0,0.0
ZERO_STRENGTH,700000007,300,2,1,False,False,465,0.0,0.0
ZERO_DEPENDENCY,700000007,300,2,1,False,False,465,0.0,0.0
AS_PUBLISHED,700000007,300,2,1,False,False,465,0.0,0.0
ZERO_STRENGTH,700000008,300,1,0,False,False,483,0.0,0.0
ZERO_DEPENDENCY,700000008,300,1,0,False,False,483,0.0,0.0
AS_PUBLISHED,700000008,300,1,0,False,False,483,0.0,0.0
ZERO_STRENGTH,700000009,300,1,0,False,False,469,0.0,0.0
ZERO_DEPENDENCY,700000009,300,1,0,False,False,469,0.0,0.0
AS_PUBLISHED,700000009,300,1,0,False,False,469,0.0,0.0
ZERO_STRENGTH,700000010,300,1,0,False,False,442,0.0,0.0
ZERO_DEPENDENCY,700000010,300,1,0,False,False,442,0.0,0.0
AS_PUBLISHED,700000010,300,1,0,False,False,442,0.0,0.0
ZERO_STRENGTH,700000011,300,2,1,False,False,398,0.0,0.0
ZERO_DEPENDENCY,700000011,300,2,1,False,False,398,0.0,0.0
AS_PUBLISHED,700000011,300,2,1,False,False,398,0.0,0.0
ZERO_STRENGTH,700000012,300,1,0,False,False,482,0.0,0.0
ZERO_DEPENDENCY,700000012,300,1,0,False,False,482,0.0,0.0
AS_PUBLISHED,700000012,300,1,0,False,False,482,0.0,0.0
ZERO_STRENGTH,700000013,300,1,0,False,False,424,0.0,0.0
ZERO_DEPENDENCY,700000013,300,1,0,False,False,424,0.0,0.0
AS_PUBLISHED,700000013,300,1,0,False,False,424,0.0,0.0
ZERO_STRENGTH,700000014,300,1,0,False,False,454,0.0,0.0
ZERO_DEPENDENCY,700000014,300,1,0,False,False,454,0.0,0.0
AS_PUBLISHED,700000014,300,1,0,False,False,454,0.0,0.0
ZERO_STRENGTH,700000015,300,1,0,False,False,497,0.0,0.0
ZERO_DEPENDENCY,700000015,300,1,0,False,False,497,0.0,0.0
AS_PUBLISHED,700000015,300,1,0,False,False,497,0.0,0.0
ZERO_STRENGTH,700000016,300,1,0,False,False,410,0.0,0.0
ZERO_DEPENDENCY,700000016,300,1,0,False,False,410,0.0,0.0
AS_PUBLISHED,700000016,300,1,0,False,False,410,0.0,0.0
ZERO_STRENGTH,700000017,300,1,0,False,False,514,0.0,0.0
ZERO_DEPENDENCY,700000017,300,1,0,False,False,514,0.0,0.0
AS_PUBLISHED,700000017,300,1,0,False,False,514,0.0,0.0
ZERO_STRENGTH,700000018,300,1,0,False,False,425,0.0,0.0
ZERO_DEPENDENCY,700000018,300,1,0,False,False,425,0.0,0.0
AS_PUBLISHED,700000018,300,1,0,False,False,425,0.0,0.0
ZERO_STRENGTH,700000019,300,1,0,False,False,421,0.0,0.0
ZERO_DEPENDENCY,700000019,300,1,0,False,False,421,0.0,0.0
AS_PUBLISHED,700000019,300,1,0,False,False,421,0.0,0.0
ZERO_STRENGTH,700000020,300,1,0,False,False,454,0.0,0.0
ZERO_DEPENDENCY,700000020,300,1,0,False,False,454,0.0,0.0
AS_PUBLISHED,700000020,300,1,0,False,False,454,0.0,0.0
ZERO_STRENGTH,700000021,300,1,0,False,False,458,0.0,0.0
ZERO_DEPENDENCY,700000021,300,1,0,False,False,458,0.0,0.0
AS_PUBLISHED,700000021,300,1,0,False,False,458,0.0,0.0
ZERO_STRENGTH,700000022,300,1,0,False,False,444,0.0,0.0
ZERO_DEPENDENCY,700000022,300,1,0,False,False,444,0.0,0.0
AS_PUBLISHED,700000022,300,1,0,False,False,444,0.0,0.0
ZERO_STRENGTH,700000023,300,1,0,False,False,523,0.0,0.0
ZERO_DEPENDENCY,700000023,300,1,0,False,False,523,0.0,0.0
AS_PUBLISHED,700000023,300,1,0,False,False,523,0.0,0.0
ZERO_STRENGTH,700000024,300,1,0,False,False,387,0.0,0.0
ZERO_DEPENDENCY,700000024,300,1,0,False,False,387,0.0,0.0
AS_PUBLISHED,700000024,300,1,0,False,False,387,0.0,0.0
ZERO_STRENGTH,700000025,300,1,0,False,False,483,0.0,0.0
ZERO_DEPENDENCY,700000025,300,1,0,False,False,483,0.0,0.0
AS_PUBLISHED,700000025,300,1,0,False,False,483,0.0,0.0
ZERO_STRENGTH,700000026,300,1,0,False,False,465,0.0,0.0
ZERO_DEPENDENCY,700000026,300,1,0,False,False,465,0.0,0.0
AS_PUBLISHED,700000026,300,1,0,False,False,465,0.0,0.0
ZERO_STRENGTH,700000027,300,1,0,False,False,474,0.0,0.0
ZERO_DEPENDENCY,700000027,300,1,0,False,False,474,0.0,0.0
AS_PUBLISHED,700000027,300,1,0,False,False,474,0.0,0.0
ZERO_STRENGTH,700000028,300,2,1,False,False,466,0.0,0.0
ZERO_DEPENDENCY,700000028,300,2,1,False,False,466,0.0,0.0
AS_PUBLISHED,700000028,300,2,1,False,False,466,0.0,0.0
ZERO_STRENGTH,700000029,300,1,0,False,False,513,0.0,0.0
ZERO_DEPENDENCY,700000029,300,1,0,False,False,513,0.0,0.0
AS_PUBLISHED,700000029,300,1,0,False,False,513,0.0,0.0
ZERO_STRENGTH,700000030,300,1,0,False,False,554,0.0,0.0
ZERO_DEPENDENCY,700000030,300,1,0,False,False,554,0.0,0.0
AS_PUBLISHED,700000030,300,1,0,False,False,554,0.0,0.0
ZERO_STRENGTH,700000031,300,2,1,False,False,483,0.0,0.0
ZERO_DEPENDENCY,700000031,300,2,1,False,False,483,0.0,0.0
AS_PUBLISHED,700000031,300,3,2,False,False,431,0.0,0.0
ZERO_STRENGTH,700000032,300,1,0,False,False,455,0.0,0.0
ZERO_DEPENDENCY,700000032,300,1,0,False,False,455,0.0,0.0
AS_PUBLISHED,700000032,300,1,0,False,False,455,0.0,0.0
ZERO_STRENGTH,700000033,300,1,0,False,False,494,0.0,0.0
ZERO_DEPENDENCY,700000033,300,1,0,False,False,494,0.0,0.0
AS_PUBLISHED,700000033,300,1,0,False,False,494,0.0,0.0
ZERO_STRENGTH,700000034,300,1,0,False,False,538,0.0,0.0
ZERO_DEPENDENCY,700000034,300,1,0,False,False,538,0.0,0.0
AS_PUBLISHED,700000034,300,1,0,False,False,538,0.0,0.0
ZERO_STRENGTH,700000035,300,2,1,False,False,438,0.0,0.0
ZERO_DEPENDENCY,700000035,300,2,1,False,False,438,0.0,0.0
AS_PUBLISHED,700000035,300,2,1,False,False,438,0.0,0.0
ZERO_STRENGTH,700000036,300,1,0,False,False,429,0.0,0.0
ZERO_DEPENDENCY,700000036,300,1,0,False,False,429,0.0,0.0
AS_PUBLISHED,700000036,300,1,0,False,False,429,0.0,0.0
ZERO_STRENGTH,700000037,300,1,0,False,False,459,0.0,0.0
ZERO_DEPENDENCY,700000037,300,1,0,False,False,459,0.0,0.0
AS_PUBLISHED,700000037,300,2,1,False,False,479,0.0,0.0
ZERO_STRENGTH,700000038,300,2,1,False,False,461,0.0,0.0
ZERO_DEPENDENCY,700000038,300,2,1,False,False,461,0.0,0.0
AS_PUBLISHED,700000038,300,2,1,False,False,461,0.0,0.0
ZERO_STRENGTH,700000039,300,1,0,False,False,501,0.0,0.0
